name,artform,duration,summary,rationale,keywords,limitations,link,
Dushyantpriya (2013),Theatre,100 minutes,"Dushyantpriya is a contemporary reimagining of the classical myth of Dushyanta and Shakuntala, with a queer twist. The play places Dushyanta in a modern setting where he grapples with his identity and attraction toward men, complicating the traditional narrative and challenging gender norms in Indian mythological storytelling.","By queering a well-known myth, the play destabilizes traditional heteronormative frameworks and allows for a critical re-examination of Indian cultural stories through a queer lens. It highlights the intersection of mythology and modernity, creating a space for queer reinterpretation of the past.","Mythology, queer reinterpretation, gender norms, identity, Indian theatre, classical myth",The entire play is not available online. The clip provided is a part of a news report. ,https://www.youtube.com/watch?v=wIGLb4d0Usg ,
Loving Self,Dance,1:14 minutes (excerpt from a larger performance whose length is unknown),"Loving Self, created by Monami Nandy in 2015, is an exploration of self-love and queer identity expressed through Odissi dance. The performance addresses themes of gender fluidity and self-acceptance, posing critical questions such as ""What is a queer body? What is self? How do they connect?"" (Nandy, 2015) and exploring how these elements interconnect. By using the classical form of Odissi, traditionally associated with gendered roles, Nandy challenges these conventions, offering a queer reimagining of the dance. As described in the YouTube description, it is ""an exploration of love through different layers of dance and music"" (Nandy, 2015).                                                                                                                           References: Monami Nandy. (2015). Loving Self [Video description]. YouTube.","Monami's work highlights the intersection of classical dance and queer expression, emphasising the importance of personal narratives in artistic practice. This performance not only showcases her technical skill but also serves as a significant statement about the power of self-acceptance within the queer community​. ","Monami Nandy, Queer, Odissi, Performance",The entire performance is not available online. ,loving self ,
Grey is also a Colour,Fusion,10:13 minutes,"Grey is also a Colour by Navtej Johar is a dance-theatre performance that navigates themes of aging, queerness, and the inner lives of marginalized figures. The piece follows two older queer men who find companionship, grappling with societal invisibility, emotional vulnerability, and the often quiet, complex dynamics within relationships. Through a blend of movement and spoken word, Johar brings forth the understated colors of queer experiences, exploring intimacy and resilience in a predominantly heteronormative world.","This piece is a valuable addition to the queer archive as it resists dominant narratives of youth-centric, flamboyant queer representation by addressing aging and companionship within queer contexts. Johar’s work queers traditional performance forms, incorporating fluid movement, multilingual dialogue, and non-linear storytelling that challenge boundaries of both genre and identity. It speaks to the archive’s goal of reflecting the diversity of queer experiences, acknowledging the intersections of age, culture, and intimacy in queer lives.","Navtej Singh Johar, Dance, Theatre, Queer",NA,Grey is also a colour.mpg ,
Frenemies,Fusion,1 hour,"In Frenemies, Navtej Johar and Lokesh Bharadwaj perform a duet that delves into the nuanced tensions between love and hate, exploring these emotions through an internalized movement style that contrasts with the rigid physicality typical of Bharatanatyam (Johar, 2015). The piece draws inspiration from the historical context of South Indian devadasis and North Indian tawaifs, marginalized courtesans who navigated lives filled with both sensuality and social exclusion. Loosely based on Jean Genet's The Maids, Frenemies weaves together intimacy and rivalry to reflect the struggles of these figures within a harsh material world. Johar describes the performance as embodying ""a lick, a bite, a jab, a sting, a sigh, and a song,"" combining these elements to depict a sensuous search for emptiness within the physical body (Johar, 2015).

Reference
Johar, N. (2015). Frenemies [YouTube video description].","Frenemies brings a critical representation of queerness that intersects with Indian cultural history, embodying the complex emotional terrains of intimacy, rivalry, and identity through dance. Johar’s approach offers a queer reimagining of the devadasi and tawaif traditions, queering classical dance by shifting focus from public displays of virtuosity to private, visceral tensions. This makes it an essential piece for the archive, representing queer experience beyond conventional depictions, and honoring how queerness redefines traditional narratives and bodily expression in South Asian contexts.","Navtej Singh Johar, Dance, Theatre, Queer",The entire performance is not available yet. ,Frenemies,
An Evening of Lavani,Dance,1 hour," An Evening of Lavani reimagines the traditional Marathi dance form, typically linked to eroticism and male audiences, by turning the male gaze on its head. The performance shifts focus to explore gender and sexual fluidity, challenging the conventional dynamics of power and desire. Through contemporary choreography, the dancers question societal roles and celebrate the performative nature of gender.  Though awaiting further translation for a fuller understanding of specific cultural nuances, the dance offers a rich ground for reflection on intersectional identities and historical gender norms in Maharashtra.","This performance challenges traditional gender norms within Lavani, offering a greater space for queer and gender-fluid expressions. By re-contextualizing Lavani, it deconstructs the male-dominated performance space, promoting more inclusive narratives. The performance reflects on Lavani's historical eroticism while exploring gender’s performative aspects and its intersections with sexuality. It contributes to broader conversations on caste, gender, and sexuality in contemporary India.","Lavani, dance, performance, gender bender",NA,An evening of Lavani - Presented by Kali Billi Productions | Gender Bender 2018,
Camille Claudel: Into the Fire,Music,Approx. 30-40 minutes,"This is a performance that is a song cycle composed by Jake Heggie, inspired by the life and artistic journey of French sculptor Camille Claudel. The performance traverses her emotional highs and lows: a lover grappling with rejection by Auguste Rodin, a mother mourning the loss of her child, and a woman enduring the isolation and torment of an asylum. Subin Mathai, a male countertenor, embodies the voice of Claudel, with piano accompaniment by Nadine Crasto. ","This performance showcases a fusion of classical music and contemporary composition. It exemplifies how live performance captures the intersection of music, biography, and art history, contributing to the queer archive by exploring themes of identity and defiance against societal norms. This specific performance has a countertenor who sings in the voice of Camille, a woman who lost her child, a sad lover, and a woman in an asylum. This unique interpretation queers both the form and performance, with a male voice assuming the identity of a historically marginalized woman, creating a layered narrative of identity, defiance, and vulnerability.  ",Camille Claudel: Into the Fire,The video has been requested from the Ashoka University Performing Arts Department and is yet to be received.,,
Bin Baykancha Tamasha,Theatre,1. 6:25 minutes  2. 5:07 minutes  3. 6:17 minutes,"This Marathi Lavani form, whose title translates to ""A Tamasha Without Women,"" is an exploration of gender and performativity through the lens of traditional Tamasha theatre. It was a form that was born out of claiming respect and recognition for cross-dressed Lavani performers. The narrative blends humour, music, and dance to critique societal norms and patriarchy while offering nuanced insights into how femininity is performed and constructed. The following entry has two performances at town/village events and one NDTV report that has snippets of the performance as well as an elaboration of the performers and the form.","By queering the structure Lavani through Tamasha and utilizing an all-male cast, the play destabilizes heteronormative frameworks and challenges the patriarchal underpinnings of folk art forms. Its innovative approach aligns with the archive's goal of showcasing performances that interrogate conventional artistic and social binaries, offering a subversive lens on gender and performativity. Furthermore, it resonates with the archive’s emphasis on reimagining queerness within traditional Indian performance forms, blending activism with artistry to present a dynamic critique of gender norms. ","Lavani, Bin Baykancha Tamasha, Lavani men, Marathi Lavni",NA,"Devgiri Puja - Bin Baykancha Tamasha  तमाशा पोखले यात्रा 2024  Special Report: Tamasha, men no bar (Aired: July 2006) ",
Dhumabhagavati Theyyam,Theatre,4:02 minutes,"Dhumabhagavati Theyyam is a powerful ritual performance from Kerala. The Theyyam is performed by men (generally from lower castes) predominantly in Brahmin temples and features a visually striking appearance of the goddess, with firecrackers adorning the performer’s head and waist. The narrative traces the goddess's origin from the Homa Kund (sacrificial fire pit) of Lord Shiva, born out of smoke to destroy demons. She is venerated in two forms: as Bhadrakali, embodying her fierce protector aspect, and as Varahi, symbolized by a boar mask. The performance recounts her journey across Kerala, blessing Brahmin temples and ensuring the protection of devotees.","Dhumabhagavati Theyyam is performed by individuals from marginalized caste communities, traditionally tasked with embodying the divine in these ritual contexts, in contrast to the Brahmin priests who officiate temple worship. This caste dynamic reflects a critical intersection of power, performance, and spirituality, where marginalized performers challenge hierarchical caste norms by becoming vessels of divine power. The Theyyam queers the boundaries between human and divine, masculine and feminine, and low and high caste, aligning with the archive's mission to highlight performances that disrupt traditional binaries. Additionally, the performance bridges folklore, mythology, and ritual, showcasing queerness as an intrinsic element of Kerala’s performative traditions.","Theyyam, Dhumabhagavathi, Kannur",The entire ritual is not captured in the video. ,ധൂമാ ഭഗവതി/Dhumabhagavati,
Crossroads (2020) | Bettina Castano and Aditi Bhagawat,Dance,60-90 minutes,"Crossroads is a dynamic fusion of Flamenco and Kathak, created by Bettina Castano and Aditi Bhagawat, that explores the intersection of two rich, distinct dance traditions. The performance blends the fiery passion of Flamenco with the intricate rhythms and storytelling of Kathak, weaving together their unique movements, footwork, and expressions. Themes of cultural convergence, identity, and the shared human experience come alive - as the dancers traverse their personal and collective journeys. ","Accompanied by percussion, tabla and harmonium and sometimes jazz - this brilliant joint venture brings the intricacies of both dance forms alive. Given that flamenco, a gypsy tradition, itself emerged out of Kathak makes this venture more interesting - both have similar beat counts. The overall infusion of music, beats, movement and costume makes for an interesting queer performance that stretches the boundaries of space and time - allowing for an immersive experience. The blend of history and culture is beautiful.","Flamenco, Kathak, Crossroads, jazz, gypsy, culture, dance, aditi, bettina, rhythm, identity. ",,Crossroads: An Indo - Spanish Dance Ensemble - YouTube,
"Revelations: Celebrating LGBTQ Stories Through Bharatnatyam Dance', The Indian Raaga. Performed by Aarthy Sundar and Swathi Jaisankar",Dance,"4 minutes, 45 seconds","The performance showcases a young woman being subjected to the conventions of femininity. Her mother puts jewellery on her and almost readies for womanhood. However, as the mother talks about her being paired with a man, she vulnerably comes out and reveals her love for a woman. The percussion in the music rises as melancholy takes over the mother-daughter relationship. Following a struggle for mutual understanding, the duet reunite when the mother accepts her for who she is and loves.  ","The Bharatnatyan form has a long history of heteronormative storytelling. The 'shikhar' mudra used to show a man and the 'kapita' mudra used to show a woman are always associated with one another. This performance breaks this convention. It follows the interaction between two generations to narrate a journey of becoming and queerness. The performance ends with acceptance and reconciliation, subverting the convention of queer performance which often ends in tragedy or social alienation. ","Classical, Queer",,https://youtu.be/zLCK1dmn2qc?si=lQ0di_KIrpDSLpV0,Queering Tradition
"Reflections: Celebrating LGBTQ Stories Through Bharatnatyam Dance', The Indian Raaga. Performed by Aarthy Sundar.",Dance,"5 minutes, 8 seconds","This Bharatnatyam solo dance performance follows the bodily tussles of a transgender individual. The music begins and a female bodied performer dances in alignment with the conventions of 'feminine' dancing in Bharatnatyam and classical dance. There is a suddent blackout for a moment. Upon return, the performer is in a different male body. This phase of the performance enacts the dysmorphia experienced by this individual and their attempt at play with the body to seek belongingness in it. The end of the performance, there is a black out once again and the performer finds themself in their female body once again. ","The performance is melancholic due to the performer's limited and fleeting opportunities for expression. By using the blackout as transition, the performer is separating the extrinsic from the intrinsic and the gaze from the self. The enactment of shaving of facial hair, trying of jewelery and saree, etc are highly unconventional in the traditional abhinaya as seen in Bharatnatyam form. This performance, thus, queers the classical form as well. ","Classical, Queer",,https://youtu.be/c1FqhFZ3EGI?si=aFJdxf8bVor3MCnV,Queering Tradition
Machhu Tara Vehta Pani' - Bhavai,Nautanki,"1 hour, 51 seconds
","Similar to the Ramleela productions in Northern India, 'Bhavai' is a form of community theatre and entertainment in rural Gujarat. This particular performance is an enactment of a popular Gujarati movie 'Machhu Tara Vehta Pani' which portrays the 1979 breakage of the Macchhu dam in Morbi. This performance portrays the disaster, its aftermath and connection to the spiritual goddess associated with that river through dramatic conversations, music and dance. ","As men dressed in chaniya-choli create humor at the expense of men dressed in all-black, donning long moustaches and paghdis, subversion of a more obvious kind takes place. It is interesting to view couples in this Bhavai imitate behaviors of conventionalised heteronormative married couples, almost reimagining marriage's mundanity as an institution welcoming queerness. However, it is the unconventional act of re-enacting a movie for audiences who wouldn't commonly have access to cinema is what makes the form of the performance as queer as the identities involved. Doubling down the performance’s amphibian nature, the occasion of performance itself has been organized in honour of a goddess (see the photo placed in the video). The word bhavai has been associated with many forms and themes now. ","Gujarati, folk, queer",,https://youtu.be/6wMkfCSw2WA?si=aAMGOeht26domdrq ,queering tradition
"Rutvij Mistry Dance Performance, Indian Pride Festival ",Dance,"6 minutes, 27 seconds","Rutvij Mistry is a dancer in Baroda whose performances straddle hindustani classical and folk dance forms. In this performance at the Indian Pride Festival, they are seen taking the stage in a unique attire and performing a Bhajan devoted to Krishna.  He calls himself a Gopi of Krishna, an identity that has been perceived as highly gendered. He performs a blend of folk and Kathak.","The performer is a unique confluence of contexts and identities. Their Instagram handle 'rangeeli.hori.sakhi'  presents a portfolio of performances on the theme of bhakti poetry or songs. This further queers the queer historical, poetic and spiritual movement that Bhakti has been. The unique amalgamation of a long white beard, an anarkali, and a feathered pagdi makes for a costume that defies any categorisation or assumption. 'Binti Suniye Nath Humari' is the Bhajan they dance to, placing himself in the position of submissive prayer which is often reserved by female bhakts. Even the Kathak they dance to makes no attempt to satisfy normativity of any kind, using elements of folk to replace the Kathak kapita mudras used to depict krishna.","Kathak, pride",,https://youtu.be/JGYyiXPlNjc?si=WDtVzaVB-bx5VAjR,queering tradition
"Maya Urmila Koli, Indian Pride Festival ",Dance,"6 mins, 41 seconds","Maya, who is a transgender Indian Classical Dancer, holds a master's in Kathak and was awarded the Rashtrapati Award in 2010. This is their only recorded performance available online. They take the stage to perform Kathak on 'Thaare Rahiyo', a popular bollywood classical song from 'Pakeezah'. They perform from the Lukhnow Gharana style, its elements fitting right into the ambience of the original performance by Meena Kumari. The delicacy of movements is accompanied by subtle expressions.","Actresses who performed Kathak in royal dramas in Bollywood of the time have been very popular drag figures in Indian performance arts. A trans classical dancer of Maya's repute performing on this song with zeal and skill pushes the boundaries of what is deemed 'classical enough'. The original track featured a female courtesan dancing for the king in a court. The fact that it is now being performed by a transgender Kathak dancer in a pride festival subverts the form of Kathak, it's historical perception and negotiations with gender a great deal. The traditional classical gharanas often look down on performances on film songs. However, that is one way of gatekeeping and denying status to all that is accessible. Figures like Meena Kumari and Rekha have been popular drag figures owing to this very accessibility and potential for expression. This archiving is an assertion of what is 'classical'.","Kathak, Queer",,https://youtu.be/yaSqCquXvOo?si=kvov09bP97ntRHwv,queering tradition
"Tum Radha Bano Shyaam', Raheem Mir",Dance,"7 minutes, 38 seconds","Raheem Mir is a queer Kathak performer. He sits cross-legged in a garden as an introduction is given from behind the camera. He goes on to perform to the thumri 'Tum Radha Bano Shyaam'. The first half of the performance is baith-ke-thumri, which refers to the use of abhinaya while sitting. The latter half showcases him performing. However, abhinaya remains at the forefront and he uses the body subtly to aid expression.","The initial narration introduces this performance as one exploring the androgeny of Krishna, ""Let us watch Krishna discover Radha within himself"". The lyrics of the Thumri translates to 'Become Radha, Krishna'. However, the unusual syntax of the lyrics evokes the dynamism of its meaning on the basis of 'tum's position. Who becomes who? A strand of Kathak can be traced back to 'Raas', maintaining the popularity of the figures of Radha and Krishna. This performance blurs the boundaries of gender between them, which only furthers the subversion studied by critics who observe queerness in the figure of Krishna. ",,,https://youtu.be/Uw66h1UjzBA?si=RRzZMagmEffw72Xf,queering the tradition
"Alien Flowers', Sapphire Creations Dance Company ",Dance,"5 mins, 40 secs","Alien Flowers' was India's first LGBT dance production first staged in 1996. Choreographed by Sudarshan Chakravorty and featuring poems by Sanjay Vasa and Rakesh Ratti, this ballet dared to explore themes of queer identity and prejudice at a time when such topics were often relegated to the shadows. The clip showcases a recreation of the same performance eleven years after its premiere. ","The performance told the story of two men in love, battling society and its expectations. In 1996, it was met with audience uproar and critics calling it 'western-influenced'. Chakrabarty in an interview with Telegram mentions that performers carrying posters with the words 'celebrate your sexuality' were publicly harassed and the company received death threats. The same performance is revived in 2006 and applauded for its poetry and vision. Within the performance, contemporary dance and an interplay of expressions and bodily movements is used to narrate the story. Inventive props seem to behave like extensions of the queer body. Stepping past romantic cliches, love within the symbolic system of dance is reimagined. ","Dance, Queer",,https://youtu.be/2BLwizJxgdg,queering tradition
Trans/Generation' by Alok Vaid Menon,Spoken Word Poetry ,"4 mins, 34 secs","Performed at Unerase Poetry, this poem narrates the silent conflict between the poet's identity and that of their culture and family. ","the poet talks about how in their family, one mustn't smile for portraits. They say that not smiling is also an act of resistance. it also symbolises all the silences that stand between them. silence, they say, is violence. As they follow their life, very differently marginalised than their equally marginalised grandmother, they talk about the 'economy of rage' in their culture and the little respites and rushes that keep them alive. ",poetry,,https://youtu.be/iLPwZZjMqyI?si=J7Smtepm2RNBiBKf,Queering tradition
