genre,title,year,author,publisher,language,format,tags,comments,key,keyword,keyword2,key2,realYear
Literature,Indian Women In The House of Fiction,2008,Geetanjali Singh Chanda,Zubaan,English,Academic,"Indian English Literature, Women in fiction",,Feminist politics,feminist politics,identity,identity,2008
Literature,"Where Are You Going, You Monkeys?",2008,"Ki. Rajanarayanan (Author), Pritham K. Chakravarthy (Translator)",Blaft Publications,English,Anthology of tales,"Folk tales, Legends and myths",Translated from Tamil by P. K. Chakravarthy,identity,identity,desire,desire,2008
Literature,Kari,2008,Amruta Patil,Harper Collins,English,Graphic Novel,"Lesbian narratives, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2008
Literature,About Me: Apni Khabar,2008,"Pandey Bechan Sharma ' Ugra' (author), Ruth Vanita (editor)",Penguin India,English,Autobiography,"Memoir, Ugra, Society, Culture",,Culture,culture,identity,identity,2008
Literature,Whistling in the dark: 21 queer Interviews,2008,"R Raj Rao, Dibyajoti Sarma (editors)",Sage Publication,English,Anthology of interviews,"Sexual identity, Same-sex marriage, Queer narratives",,Queer movement,queer movement,law,law,2008
Literature,Ente Katha / My Story,2009,Kamala Das,Harper Collins,English,Autobiographical fiction,"Autobiography, Culture, fiction, Society",The book was first published as Ente Katha in Malayalam in 1977 by Sterling Publishers,desire,desire,culture,culture,2009
Literature,Wish You Were Here: Memories of a Gay Life,2009,Sunil Gupta,Yoda press,English,Photographic novel,"Gay narratives, Queerness, non-fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2009
Literature,Aids Sutra: Untold stories from India,2009,"Kiran Desai, Salman Rushdie, Vikram Seth et al.",Vintage Books,English,Anthology of essays,"Healthcare, HIV/AIDS",,Sexual and Reproductive Health,sexual and reproductive health,identity,identity,2009
Literature,Pink Sheep,2010,Mahesh Natarajan,Gyaana Books,English,Anthology of Short Stories,"Gay narratives, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2010
Literature,You are not alone,2010,Arun Mirchandani,Leadstart Publishing Pvt. Ltd.,English,Novel,"Gay narratives, Queerness, Fiction",,LGBTQ narratives,lgbtq narratives,culture,culture,2010
Literature,Hostel Room 131,2010,R Raj Rao,Penguin India,English,Novel,"Gay narratives, Queerness, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2010
Literature,The Dead Camel and Other Stories of Love,2010,Parvati Sharma,Zubaan Books,English,Anthology of short stories,"Queerness, fiction",,desire,desire,lgbtq narratives,LGBTQ narratives,2010
Literature,Vivek and I,2010,Mayur Patel,Penguin India,English,Novel,"Gay narratives, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2010
Literature,The Truth About Me: A Hijra life story,2010,A. Revathi,Penguin India,English,Autobiography,"Hijra narratives, Queerness, Society",,violence,violence,lgbtq narratives,LGBTQ narratives,2010
Literature,Our Lives Our Words: Telling Aravani Life Stories,2011,A. Revathi,Yoda Press,English,Non fiction,"Trans narratives, Aravani narratives",,identity,identity,lgbtq narratives,LGBTQ narratives,2011
Literature,Yaraana: Gay Writing from India,2011,Hoshang Merchant (editor),Penguin India,English,Anthology of queer narratives,"Queerness, Gay narratives",,desire,desire,lgbtq narratives,LGBTQ narratives,2011
Literature,The Man who would be Queen: Autobiographical fictions,2011,Hoshang Merchant,Penguin India,English,Anthology of lyric essays,"Autobiographical fiction, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2011
Literature,Dahshatzadi,2012,Nayeema Mehjoor,,Urdu,Novel,Fiction,,Violence,violence,identity,identity,2012
Literature,Travails of Entrapment,2012,Himadri Roy,Leadstart Publishing,English,Novel,Romance,,desire,desire,lgbtq narratives,LGBTQ narratives,2012
Literature,"Close, Too Close: The Tranquebar Book of Queer Erotica",2012,"Meenu, Shruti (Editors)",Westland Books,English,Anthology of Short Stories,"Fiction, Erotica",,feminist politics,feminist politics,lgbtq narratives,LGBTQ narratives,2012
Literature,Randu Penkuttikal / Two Girls,2012,Nanda Kumar V T,DC Books,Malayalam,Novel,"Same-sex desire, Gender-bending",The Novel has been adapted into films,LGBTQ narratives,lgbtq narratives,desire,desire,2012
Literature,Out: Stories From New Queer India,2012,Minal Hajratwala (editor),Queer Ink,English,Anthology of short stories,"Sexual identity, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2012
Literature,"Me Hijra, Me Laxmi",2012,Laxmi Narayan Tripathi,Oxford University Press,English,Autobiography,"Hijra narratives, Queerness",,activism,activism,lgbtq narratives,LGBTQ narratives,2012
Literature,Kalam-e-Niswan: Anthology of Muslim Women's Writing,2013,Purwa Bharadwaj (editor),Nirantar,English,Anthology of Women's writings,Muslim women's writings,,Identity,identity,religion,religion,2013
Literature,Motherwit,2013,"Urmila Pawar, Veena Deo (translator)",Zubaan,English,Anthology of short stories,"Dalit women's narrative, Dalit Feminism",,Feminist politics,feminist politics,identity,identity,2013
Literature,Fragrance of Peace,2013,Irom Sharmila,Zubaan,"Meiteilon, English",Anthology of poems,"Irom Sharmila, Manipur, Poetry, Non-fiction",,activism,activism,feminist politics,Feminist politics,2013
Literature,A Life Less Ordinary,2013,Baby Haldar,"Zubaan, Penguin Books",English,Biography,"Non fiction, Biography","First published by Zubaan and Penguin Books India in 2006, followed by Zubaan independently in 2013.",Violence,violence,culture,culture,2013
Literature,The country without a post office,2013,Agha Shahid Ali,Penguin,English,Fiction/Memoir,"Kashmir, homeland","Although not directly addressing gender and sexuality, the writing itself embodies a gendered and sexual way of communicating.",Violence,violence,identity,identity,2013
Literature,Trangressing Boundaries: The Songs of Shenkottai Avudai Akkal,2013,Kanchana Natrajan,Zubaan,Tamil Poems translated inEnglish,Poem/prose,"Shenkottai Sri Avudai Akkal, Tamil Society",,Identity,identity,religion,religion,2013
Literature,Antaranga: An Anthology of True Stories of Lesbians and Gays,2013,Bindumadhav khire (editor),Samapathik Trust,Marathi,Anthology of personal narratives,"Sexuality, Society",,desire,desire,lgbtq narratives,LGBTQ narratives,2013
Literature,Saptaranga- Anthology of true stories of Transgenders and Tritiyapanthis,2013,Bindumadhav khire (editor),Samapathik Trust,Marathi,Anthology of personal narratives,"Trans narratives, Society",,LGBTQ narratives,lgbtq narratives,society,society,2013
Literature,Manachiye Gunti- Anthology of true stories of Parents of gays and lesbians,2013,Bindumadhav khire (editor),Samapathik Trust,Marathi,Anthology of personal narratives,"Parenting, queerness",,society,society,lgbtq narratives,LGBTQ narratives,2013
Literature,Aalohari Anandam,2013,Sarah Joseph,Current Books,Malayalam,Novel,"Homosexuality, Lesbian narratives, Family, Society",,LGBTQ narratives,lgbtq narratives,culture,culture,2013
Literature,How I Got Lucky,2013,Farhad J Dadyburjor,Penguin Random House,English,Novel,"Queerness, Bollywood",,LGBTQ narratives,lgbtq narratives,desire,desire,2013
Literature,Mella Vilagum Panithirai,2013,Living Smile Vidhya (editor),Bharathi Library,Tamil,Anthology of Short Stories,Trans narratives,,identity,identity,lgbtq narratives,LGBTQ narratives,2013
Literature,Along the Red River: A Memoir,2013,"Sabita Goswami (author), Triveni Goswami Mathur (Translator)",Zubaan,English,Autobiography,"Journalism, history, Autobiography",,Culture,culture,violence,violence,2013
Literature,Sufiana: Poems,2013,Hoshang Merchant,Harper Collins,English,Anthology of poems,"New World Poetry, Fiction",,Culture,culture,identity,identity,2013
Literature,Cobalt Blue,2013,"Sachin Kundalkar (author), Jerry Pinto (translator)",Penguin India,English,Novel,"Queerness, Romance, fiction",Translated from Marathi by Jerry Pinto,LGBTQ narratives,lgbtq narratives,desire,desire,2013
Literature,I am Vidya: A Transgender's Journey,2013,Living Smile Vidya,Rupa Publications India,English,Autobiography,"Trans narratives, Queerness",,activism,activism,lgbtq narratives,LGBTQ narratives,2013
Literature,Prisoner No. 100: An Account of My Nights and Days in an Indian Prison,2014,Anjum Zamarud Habib,Zubaan,English,Autobiography,"Kashmir, Conflict, Non-fiction",,Violence,violence,state and citizenship,state and citizenship,2014
Literature,The Half Mother: A Novel,2014,Shahnaz Bashir,Hachette India Local,English,Literary fiction,"Conflict, Fiction, Kashmir",,Violence,violence,identity,identity,2014
Literature,Eating God: A book of Bhakti Poetry,2014,Edited by Arundhati Subramaniyan,Penguin,English,Anthology of poems,"Hinduism, Spirituality",,Religion,religion,desire,desire,2014
Literature,Shikhandi and Other Stories They Don't Tell You,2014,Devdutt Pattanaik,"Zubaan, Penguin India",English,Fiction,"Fantasy, Mythology, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2014
Literature,Talking of Muskaan,2014,Himanjali Sankar,Duckbill Books,English,Novel,"Young Adult Literature, Fiction",,LGBTQ narratives,lgbtq narratives,culture,culture,2014
Literature,Slightly Burnt,2014,Payal Dhar,Bloomsbury India,English,Novel,"Yount Adult Literature, Fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2014
Literature,Hawa si Bechain Yuvtiyan (Restless Women),2015,Rajni Tilak,,Hindi,Anthology of Poetry,"Dalit Women narratives, Poetry",,Caste,caste,activism,activism,2015
Literature,An Evening Rainbow: Queer Indian Writings from Indian Regional Languages,2015,Kuhu Sharma Chanana,Queer Ink,English,Anthology of translated short stories,"Queerness, Indian Regional Languages",,desire,desire,lgbtq narratives,LGBTQ narratives,2015
Literature,"LGBTQ: (Lesbian, Gay, Bisexual, Transgender and Queer) Identities in Select Modern Indian Literature",2015,Kuhu Sharma Chanana,D. K. Printworld,English,Academic book,Modern Indian Literature,,queer movement,queer movement,lgbtq narratives,LGBTQ narratives,2015
Literature,Gendering the Narrative: Indian English Fiction and Gender Discourse,2015,Nibedita Mukherjee,Cambridge Scholars Publishing,English,Academic book,Indian English Fiction,,Feminist politics,feminist politics,lgbtq narratives,LGBTQ narratives,2015
Literature,The Devourers,2015,Indra Das,Penguin,English,Novel,"LGBT Fiction, Fantasy",,desire,desire,lgbtq narratives,LGBTQ narratives,2015
Literature,Munnu: A Boy From Kashmir,2015,Malik Sajad,Fourth Estate,English,Graphic novel,"Conflict, Culture, Kashmir",,Violence,violence,identity,identity,2015
Literature,Don't Let him know,2015,Sandip Roy,Bloomsbury Publishing,English,Novel,"Gay narratives, Queerness, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2015
Literature,Lady Lolita's Lover,2015,R Raj Rao,Harper Collins,English,Novel,fiction,,desire,desire,lgbtq narratives,LGBTQ narratives,2015
Literature,Kuri Aruthean,2015,Kalki Subramaniam,Vikatan Publications,Tamil,Anthology of Poems,"Trans narratives, Society",,Feminist politics,feminist politics,lgbtq narratives,LGBTQ narratives,2015
Literature,Lost in Terror,2016,Nayeema Mehjoor,Penguin Random House India,English,Novel,"Women's narratives, conflict, Kashmir",,Violence,violence,identity,identity,2016
Literature,A Life in Trans Activism,2016,"A. Revathi, Nandini Murali",Zubaan Books,English,Memoir,"A.Revathi, Trans activism",,queer movement,queer movement,activism,activism,2016
Literature,Harmless Hugs,2016,Sahil Verma,Notion Press,English,Anthology of nine tales,Queerness,,Queer movement,queer movement,lgbtq narratives,LGBTQ narratives,2016
Literature,Mohanaswamy,2016,"Vasudhendra, Rashmi Terdal (Translator)",Harper Perennial,"Kannada, English",Novel,LGBT Fiction,,LGBTQ narratives,lgbtq narratives,desire,desire,2016
Literature,Seahorse,2016,Janice Pariat,The Unnamed Press,English,Novel,"LGBT fiction, Culture",,LGBTQ narratives,lgbtq narratives,desire,desire,2016
Literature,Secret Writings of Hoshang Merchant,2016,"Hoshang Merchant (author), Akshaya K. Rath (editor)",Oxford University Press,English,Memoir,"Gay narratives, Queerness, non-fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2016
Literature,My Sunset Marriage: One Hundred and one Poem,2016,Hoshang Merchant,Navayana,English,Anthology of poems,"Poetry, Modern fiction",,Identity,identity,lgbtq narratives,LGBTQ narratives,2016
Literature,Red Lipstick: The Men in My Life,2016,"Laxmi Narayan Tripathi, Pooja Pande",Penguin Random house India,English,Biography,"Trans narratives, Queerness",,LGBTQ narratives,lgbtq narratives,activism,activism,2016
Literature,The Other Guy,2016,Aakash Mehrotra,Leadstart Publishing,English,Novel,"Gay narratives, fiction",,LGBTQ narratives,lgbtq narratives,desire,desire,2016
Literature,The Tree Outside My Window is A Drama Queen,2017,Avinash Matta,Notion Press,English,Anthology of poems,"Romance, Poetry",,desire,desire,lgbtq narratives,LGBTQ narratives,2017
Literature,A Thousand Dreams Within Me Softly Burn,2017,Sahil Sood,Woven Words Publishers,English,Novel,LGBT fiction,,desire,desire,lgbtq narratives,LGBTQ narratives,2017
Literature,Punarapi,2017,Kavya Kadame Nagarakatte,Pallava Prakashana,Kannada,Novel,"Lesbian narratives, Romance",,desire,desire,lgbtq narratives,LGBTQ narratives,2017
Literature,Randu Purushanmar Chumbikkumbol / When Two Men Kiss,2017,Kishor Kumar,DC Books,Malayalam,Autobiography,"Queerness, romance",,LGBTQ narratives,lgbtq narratives,desire,desire,2017
Literature,A Gift of Goddess Lakshmi,2017,Manomi Bandyopadhyay with Jhimli Mukherjee Pandey,Penguin India,English,Memoir,"Trans narratives, Queerness",,LGBTQ narratives,lgbtq narratives,identity,identity,2017
Literature,Nacher Chele / The Dancer Boy,2018,Avijit Kundu,Havakal Publishers,Bengali,Autobiography,"Gay narratives, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2018
Literature,Daivathinte Makal / Daughter of God,2018,Vijayaraja Mallika,Chinta Publishers,Malayalam,Anthology of poems,"Trans narratives, poetry",,LGBTQ narratives,lgbtq narratives,desire,desire,2018
Literature,Eleven Ways To Love: Essays,2018,"Sreshtha, Sangeeta, Nadika Nadja, Dhrubo Jyoti, Meenakshi Reddy Madhavan, Preeti Vangani, Shrayana Bhattacharya, Nidhi Goyal, Anushree Majumdar, Sharanya Manivannan, Maroosha Muzaffar, D",Penguin Random House,English,Anthology of essays,"Romance, Queerness",,identity,identity,lgbtq narratives,LGBTQ narratives,2018
Literature,The Pregnant King,2018,Devdutt Pattanaik,Penguin Book India,English,Fiction,"Fantasy, Mythology, Queerness",,LGBTQ narratives,lgbtq narratives,religion,religion,2018
Literature,Crocodile Tears: New & Selected Stories,2018,R. Raj Rao,Vishwakarma Publication,English,Anthology of short stories,"Gay literature, short stories",,Feminist politics,feminist politics,lgbtq narratives,LGBTQ narratives,2018
Literature,Vidupattavai,2018,Gireesh,"Queer Chennai Chronicles, Karuppu Pirathigal",Tamil,Anthology of narratives,"Queer Lives, short stories, poems, personal testimonies",,LGBTQ narratives,lgbtq narratives,desire,desire,2018
Literature,Acid,2018,Sangeetha Sreenivasan,Penguin Random House,Malayalam / English,Novel,"Lesbian narratives, Motherhood",,LGBTQ narratives,lgbtq narratives,desire,desire,2018
Literature,Falling Into Place,2018,Sheryn Munir,YLva Publishing,English,Novel,"Fiction, Lesbian narratives, Romance",,LGBTQ narratives,lgbtq narratives,desire,desire,2018
Literature,Lean Days,2018,Manik Gaekwad,Harper Collins,English,Novel,"Queerness, Fiction, Travelogue",,LGBTQ narratives,lgbtq narratives,identity,identity,2018
Literature,Curfew Diary - Kashmir 2016,2018,Fozia Qazi,Women's Studies Quaterly,English,Diary Entry,"Kashmir, Protest, Journalism",,Violence,violence,identity,identity,2018
Literature,Tawaifnama,2019,Saba Dewan,Context,English,Historical Biography,"Non-fiction, Tawaif, Banaras, Bhabua",,Feminist historiography,feminist historiography,desire,desire,2019
Literature,Serpents under my Veil,2019,Asiya Zahoor,Thethys,English,Anthology of poems,"Poetry, Protest, Kashmir",,Feminist politics,feminist politics,violence,violence,2019
Literature,The Mystic and the Lyric: Four Women Poets from Kashmir,2019,Neeraj Mattoo (translator),Zubaan,English,Anthology of poems,"Kashmir, Women's narratives, poetry",,Feminist politics,feminist politics,identity,identity,2019
Literature,Straight to Normal: My Life as a Gay Man,2019,Sharif K. Rangnekar,Rupa Publications,English,Autobiography,"Autobiography, Gay narratives, Queerness",,LGBTQ narratives,lgbtq narratives,culture,culture,2019
Literature,April is Lush,2019,Aditya Tiwari,Blue Rose Publishers,English,Anthology of poems,"Romance, Loss, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2019
Literature,Unsaid,2019,Harsh Baswal,Independently published,English,Autobiography,"Sexual identity, Caste identity, Queer Dalit narratives",,LGBTQ narratives,lgbtq narratives,identity,identity,2019
Literature,So Now You Know: A Memoir of Growing Up Gay in India,2019,Vivek Tejuja,Harper Collins,English,Autobiography,"Gay narratives, memoir",,culture,culture,lgbtq narratives,LGBTQ narratives,2019
Literature,The Scent of God,2019,Saikat Majumdar,Simon and Schuster,English,Novel,"Gay narratives, fiction",,LGBTQ narratives,lgbtq narratives,religion,religion,2019
Literature,A Death in Matunga,2019,Arun Mirchandani,Queer Ink,English,Novel,"fiction, Queerness",,LGBTQ narratives,lgbtq narratives,culture,culture,2019
Literature,The Scholar,2019,Niladri Chatterjee,Queer Ink,English,Novel,"Queerness, Romance",,LGBTQ narratives,lgbtq narratives,identity,identity,2019
Literature,Facing the Mirror: Lesbian writings from India,2019,Ashwini Sukhtankar,Penguin India,English,Academic Book,"Lesbian narratives, Queerness",,desire,desire,lgbtq narratives,LGBTQ narratives,2019
Literature,Criminal No More,2019,Avali Khare (editor),The YP Foundation,English,Anthology of poems,"Poetry, Artwork",,Law,law,lgbtq narratives,LGBTQ narratives,2019
Literature,"Queer Potli: Memories, Imagination and Reimagination of Queer Spaces in India",2019,Pawan Dhall (editor),Queer Ink,English,Anthology of short stories,"Queerness, Queer spaces",,queer movement,queer movement,lgbtq narratives,LGBTQ narratives,2019
Literature,Memoriographia,2020,Rozumari Samsara,Heritage Publishing House,English,Anthology of poems,Autobiographical poems,,Identity,identity,feminist politics,feminist politics,2020
Literature,"Momspeak: The Funny, Bittersweet Story of Motherhood in India",2020,Pooja Pande,Penguin India,English,Non-Fiction,"Motherhood, society",,Feminist politics,feminist politics,desire,desire,2020
Literature,The Women Who Forgot to Invent Facebook and Other Stories,2020,Nisha Susan,Context,English,Fiction,"Short stories, Intimacy, Fiction",,Desire,desire,technology,technology,2020
Literature,Mallikavasantham,2020,Vijayaraja Mallika,Green Books,Malayalam,Autobiography,"Trans narratives, autobiography",,activism,activism,lgbtq narratives,LGBTQ narratives,2020
Literature,Ritu Weds Chandni,2020,Ameya Narvankar,Yali Books,English,Graphic novel,"Children's literature, Same-sex marriage",,LGBTQ narratives,lgbtq narratives,culture,culture,2020
Literature,"The Pursuit of Nothing: Two Men, One Love Story",2020,Gautam Mehra,,English,Novel,"fiction, gay narratives",,LGBTQ narratives,lgbtq narratives,desire,desire,2020
Literature,"That's True, I Love Her",2020,Priyanka M. A. Singh,Kalamos Literary Services,English,Novel,"Fiction, Romance, lesbian narratives",,desire,desire,lgbtq narratives,LGBTQ narratives,2020
Literature,Guthli Has Wings,2020,Kanak Shashi,Tulika Publishers,English,Graphic novel,"Children's literature, Queerness",,LGBTQ narratives,lgbtq narratives,identity,identity,2020
Literature,The world that belongs to us : A collection of Queer poetry from South Asia,2020,"Akhil Katyal, Aditi Angiras (editors)",Harper Collins India,English,Anthology of poems,"poetry, Queerness",,desire,desire,lgbtq narratives,LGBTQ narratives,2020
Literature,My Father's Garden,2020,Hansda Sowvendra Shekhar,Speaking Tiger Publishing Pvt. Ltd.,English,Novel,"Queerness, fiction",,LGBTQ narratives,lgbtq narratives,identity,identity,2020
Literature,Doshhu: Fable of the Tigress,2020,Shulakshana Biswas,Saptarshi Prakashan,English,Graphic novel,"Bengal, Women's narratives",,Identity,identity,violence,violence,2020
Literature,Rumours of Spring: A Girlhood in Kashmir,2021,Farah Bashir,Harper Collins,English,Biography and Autobiography,"Autobiography, Kashmir, Women's narratives",,Feminist politics,feminist politics,state and citizenship,state and citizenship,2021
Literature,Myeān Kath: A Kashmiri Woman's Struggle for Empowerment (1925-2008),2021,Shamla Mufti,Independently Published by Dr. Altaf Hussain,English,Autobiography,"Autobiography, Kashmir, Women's narratives","Myean Kath was first published in 1998 in Kashmiri, then translated into Urdu (Chilman se Chaman) by the author herself",Feminist politics,feminist politics,activism,activism,2021
Literature,Funeral Nights,2021,Kynpham Sing Nongkynrih,Context,English,Novel,"Khasi Hills, Culture, Matriliny",,Culture,culture,identity,identity,2021
Literature,Disappearing Act,2021,Anonymous,South Asian Avant Garde Anthology,English,Play,"AFSPA, Manipur, Gay narratives",https://saaganthology.com/Disappearing-Act,Violence,violence,identity,identity,2021
Literature,Fiercely Female: The Dutee Chand Story,2021,Sundeep Mishra,Westland Sport,English,Biography,"Dutee Chand, Queerness",,LGBTQ narratives,lgbtq narratives,identity,identity,2021
Literature,equALLY: Stories by Friends of the Queer World,2021,"Ramkrishna Sinha, Srini Ramaswamy",Rupa,English,Non fiction,"Allyship, queerness",,Queer movement,queer movement,identity,identity,2021
Literature,No Man's Land: Memoir of a Gay Activist,2021,Bindumadhav khire,Queer Ink,English,"Trilogy, Memoir","Memoir, gay narratives",,activism,activism,lgbtq narratives,LGBTQ narratives,2021
Literature,The Boy In The Cupboard,2021,"Harshala Gupte, Priya Dali (editor)","Lettori Press, Gaysi",English,Graphic novel,"Children's literature, Queerness",,LGBTQ narratives,lgbtq narratives,desire,desire,2021
Literature,The Lesbian Cow and Other Stories,2021,"Indu Menon (Author), Nandakumar K. (Translator)",Eka,English,Anthology of Short Stories,"Fiction, Thriller",Translated from Malayalam,LGBTQ narratives,lgbtq narratives,desire,desire,2021
Literature,Bhalo Na Basar Golpo,2021,Sudipto Pal,Sristisukh Prokashan,Bengali,Novel,"Fiction, gay narratives",,LGBTQ narratives,lgbtq narratives,desire,desire,2021
Literature,The Other Man,2021,Farhad J Dadyburjor,Lake Union Publishing,English,Novel,"Fiction, Romance, Comedy",,LGBTQ narratives,lgbtq narratives,desire,desire,2021
Literature,Love and Reparation: A Theatrical Response to the Section 377 Litigation in India,2021,Danish Sheikh,Seagull Books,English,Anthology of Plays,"Queerness, Section 377",,state and citizenship,state and citizenship,desire,desire,2021
Literature,It Has No Name,2021,Payal Dhar,Red Panda,English,Novel,"Young Adult fiction, queerness, family",,LGBTQ narratives,lgbtq narratives,identity,identity,2021
Literature,Dazzling Dewdrops,,Chungkham Sheelaramani (editor),,English,Anthology of poems,"Poetry, Women's narratives, Manipur",,Feminist politics,feminist politics,culture,culture,
