no,title,artform1,artforms (new additions) ,artform,duration,plot,rationale,keywords,keyword1,keyword2,keyword3,links,category
11,The Creature In Me Is Not Upright by Jasmine Yadav,Dance,,Contemporary Dance,5 Minutes ," 'The Creature In Me Is Not Upright' is a dance film which shot in a public mohalla and a dance studio both and it keeps cutting abruptly between the two diff locations conveys how to embrace the future one must acknowledge the past and tune into the realities of today. The dancing creature slips, melts and finds it challenging to remain upright. The work imagines a future where distress and trauma are allowed space to be witnessed and held. Historically and in present as well mohalla and gali is often occupied predominantly by male bodies for leisure and socialisation as untitlement but this performance break the notion and as a female body the artist recalim the space for venting out the trauma and distress of a human body in public space which we conventionally see as private matter.","Using body movements which are considered wired or ajeeb in female bodies this piece creates space for the body to feel the fear, distress, and trauma instead of feeling shame about it. The dark and the light screen higlights the movements and vulnerablities. Performaning in a public place like 'Moholla' while  male passer bys watch shows the politcs of female bodied person occupying public spaces. Performer intreaction with her own body looks intimate and vulnerable and communicative focusing on care and kindness which we often forget in this capitalist beauty standard world.","Public, dance movement, body, city, sexuality, dreams, hope, intreaction",regional,social commentary,interactive,https://www.youtube.com/watch?v=7ROE2uHXFxo,Body
12, Much ago about never by Yuki Elias and team,Play,Multi Media ,Multimedia,12 Minutes 32 Seconds ,This performance is about two women who comes from the same family having fun and engaging in a  humurous raunchy banter on stage ranging on topics such as underwear to having sex with the milkman. Live instruments play on stage during the performance. The stage is full of eye poppoing colourful props. The humour of these two women  often mingle while talking about aged women desire and fornication which considered stigamtised in our society in a humours way.,"Two women on live stage being loud and weird while wearing the colourful clothes and using colorful props seems aspirational. The reveal their sexual escapades and secrets to each other. The sounds, voice, dialougue are funny and humourous. There is live musician wearing eye printed glasses and playing the instrument without looking at it. The musician is a part of the whole performance listening and observing the conversation between the mother and daughter. He serves as both an audeince and the performer both at the same time. ","Female performer, body politics, sarcasm, humour, weird, live play",humour,interactive,desire,"https://www.youtube.com/watch?v=xEz_rdykBAE
https://www.youtube.com/user/DurSeBrothers
https://www.yukiellias.com/",Space
13,"Rasasutra: Eternal & Endless


Concept & Direction
SUDARSHAN CHAKRAVORTY

Co- Choreography
RONITA MOOKERJI

Movement Inputs
PARTH BHARADWAJ, PINKI MONDOL & NARESH GUPTA

Live Electronica Music
HYBRID PROTOKOL",Multimedia Dance Performance,,Contemporary Dance,10 Minutes 45 seconds ,"The performance is amalgam of nartya shastra, contemporary dance, and the live eletronica music. Performer explores how contemporary dance practitioners can draw inspiration from the rich heritage of Natyashastra, a 2000-year-old text that outlines the principles of drama and dance. By examining the concepts of vyakta (the manifested) and a-vyakta (the unmanifested), the conversation investigates the nature of rasa (aesthetic emotion) and its ability to transcend physical limitations. The discussion also probes the role of ancestry in contemporary practice, questioning how to honor this heritage while pushing the boundaries of traditional forms. Ultimately, Rasasutra aims to challenge binary thinking and explore the fluidity of identity, movement, and expression in contemporary performance.","Fusion of forms, live electronica music, the whole performance was on rythm no words was there. The intreaction between the performer was intimate, the way body movement was changing with bhav and ras shows the fluidity of the human emotions. Using prop like mat form the narration of performance was stand out. Challenging the fixed boundries and forms notion and higlighting the idea of collabration. Lighting, darkness, and shadow shows the temporality of the emotions and how all of them can coexist and interconnected.","Classical, indian, dance, love, sexuality, staging, light, music, fusion",desire,fusion,,https://www.youtube.com/watch?v=U4LLV0TaYY4,Rewritings
14,ILA ,Theatre play,,Theatre,,"""Inspired by a lesser known myth, Ila is a devised piece that looks at gender, its related myths and dilemmas and the importance they play in our lives today. With ever-changing landscapes (sometimes in ancient land and sometimes in the local trains of Mumbai) and leaps in time, this chorus takes the audience through a provocative, playful and exciting journey that questions what it means to “be a woman/man and everything in between”- Patchworks Esembles",,"body intreaction, audience engagement, personal narratives, storytelling content which are non-linear , and fusion of forms",regional,social commentary,collective memory,https://patchworksensemble.com/ila/,Body
15,"Sex in the city
by Indu Harikumar",Immersive Multimedia Performance,,Immersive Theatre,Not mentioned ," Sex in the City is an immersive multimedia performance that blends personal narrative, illustration, and live performance to explore themes of gender, sexuality, and body politics. Created by Indu Harikumar, this powerful piece invites audiences to not just watch, but to actively participate in a collective exploration of pleasure, consent, vulnerability, and gender-based violence. Drawing from eight years of research, the performance culminates in a shared dance experience, fostering a sense of release and connection among all participants.
","The initial poster for ""Sex in the City"" itself is a powerful political statement. Its bold colors, suggestive imagery, and the figure sprawled confidently in a public space challenge societal norms and expectations around gender, sexuality, and public behavior. This provocative image directly engages with the ongoing debate about public and private spaces, questioning who has the right to occupy them and how. The interactive nature of the performance, where the audience becomes part of the experience and explores bodily themes and emotions with the performer, further amplifies its political significance by blurring the lines between performer and spectator and challenging traditional notions of theater.







",,desire,interactive,LGBTQIA+,"https://www.instagram.com/sandboxcollective/p/DBtXmMTIokZ/?img_index=5
https://induviduality.com/
https://linktr.ee/induviduality
https://www.sandboxcollective.org/",Body
16,"Raanti

Concept and choreography- @maijojojo
Performers - @ms.sayli @medha_chaudhari06 @hennrai @tanz_vi @maijojojo


",Contemporary Dance Movement,,Contemporary Dance,Not mentioned ,"This performance is contemporary dance movement installation that challenges societal norms and empowers women. By reclaiming the derogatory term ""Raanti which means barbarian,"" the performance celebrates the raw, untamed aspects of femininity often suppressed. Through powerful, embodied movement, it invites audiences to witness the transformative power of authentic self-expression and to reflect on societal pressures that often limit women's freedom to express their emotions fully.










","The installation's photo images truly captivated me with their movement, moment, and powerful message. Diverse female bodies, adorned in vibrantly unconventional clothing, took center stage in a unique performance. Their intimate interactions challenged societal norms and stereotypes about how bodies should behave in public spaces. The backdrop of painted storytelling added an intriguing layer to this thought-provoking display. ",,community,social commentary,storytelling,https://www.instagram.com/678.colab/p/DA5tO2BS6vo/?img_index=6,Body
17,Akshayambara (2015) | Sharanya Ramprakash & Dramanon,Play | Kannada,,Theatre,90 minutes,"Directed by Sharanya Ramprakash, this Kannada play by Dramanon Theatre discusses how female sexuality remains a subject that has yet to gain traction. An experimental work that premiered in 2015, it deals with the construct of gender performance - and shows how a male artist in streevesha plays Draupadi while in a tradition-defying move, a woman is cast as the Pradhana Purushavesha of Kaurava. What happens to the interpretation of gender when a man plays the streevesha and the purushavesha is played by a woman? Who is the real woman and who is the real man? The play uses the form of Yakshagana as well as ‘modern’ theatrical methods that interrogate the idea of representation of the female body, and consequently the notion of ownership. ","The play strikes a beautiful conversation around bodies, female sexuality and the inversion of gender roles in Yakshagana. It supports what is increasingly a bigger presence of women artists in the dance form. Moreover, Akshayambara’s set includes a Yakshagana stage as well as a green room, both of which are onstage. Both these aspects are big reasons for why this can be selected as a 'queer' performance. The play’s narrative moves between stage and greenroom - and between vesha (costume) and vastava (reality) - thus raising questions to the spectator and their role in the play. ","Bodies, Gender, Dance, Sexuality, Kannada, Yakshagana, Draupadi, Kaurava, Theatre.  ",interactive,regional,,https://vimeo.com/531388385 Director info: https://www.instagram.com/sharanya.ramprakash/?hl=en,Rewritings
18,A Thousand Years of Dreaming (2024) | Debashish Paul,Film/Sculpture/Art (Studio Exhibition) | English,,Mixed Media,7 minutes clip (available) - Full Film Length NA,"Debashish Paul's A Thousand Years of Dreaming uses performance art, sculpture, and film to explore queer identity in small-town India. His work reflects the struggles of queer men who conceal their desires due to societal pressures. The exhibition features performance stills, drawings, and sculptures based on the film Hazaro Saalon ka Sapna, where Paul merges personal narratives with ritualistic play, drawing inspiration from mythology, particularly queer depictions of gods like Shiva and Krishna. ","The form & content of this artwork makes another great queer performance - especially through the use of the three mediums. Despite working with big studios now, Paul's upbringing was certainly one of importance as he discusses navigating queerness in small-town India. The mixture of various forms coming together in the final exhibition - as well as in the film 'Beyond Body and Gender' mentioned here - makes it an abstract, surreal watch. ","Body, Transformation, Queerness, Performance Art, Desire, Religion. ",LGBTQIA+,regional,,"https://youtu.be/9sxcfPCzm_I  - 'Beyond Body and Gender', the film clip. Artist can be contacted at: https://www.instagram.com/debashish.paul.790/ (Their website: https://www.emamiart.com/artists/41-debashish-paul/overview/)  zip folder with all the artists complete works https://drive.google.com/file/d/1s-OWdBV8pzVa3lt3y7XBXm2Jm2SA_kW5/view?usp=drive_web ",Rewritings
19,Finding My Queer Body by Debashish Paul,Embodies Art Performance,,Mixed Media,NA - 15-20 minutes,"Finding My Queer Body by Debashish Paul is a solo performance that examines the journey of self-discovery and acceptance within a queer identity. Through expressive movement and narrative monologues, Paul explores themes of gender fluidity, body politics, and the societal pressures that shape queer existence. The performance is deeply personal, reflecting the search for authenticity and self-love in a world that often marginalizes and labels queer bodies, allowing audiences to witness the struggles and triumphs embedded in embracing one's true self.","Finding My Queer Body is a vital piece for the queer archive as it captures the embodied process of reclaiming and redefining one’s identity. Paul’s exploration of body politics and gender fluidity contributes to the archive’s mission of showcasing intersectional queer experiences, particularly through the lens of self-acceptance and personal liberation. It challenges normative definitions of the body, providing a raw and intimate portrayal that expands the archive's representation of queer journeys.","Queer, Body, Art, Debashish Paul",identity,collective memory,,https://drive.google.com/file/d/1s-OWdBV8pzVa3lt3y7XBXm2Jm2SA_kW5/view?usp=drive_web   ,Body
20,Queen Size (2016) | Mandeep Raikhy,Dance | English,,Contemporary Dance,45 minutes,"Choreographed by Mandeep Raikhy, it is an exploration - in response to article 377 - that took the form of a detailed study of the intimacy and lovemaking between two men. Played out on a charpoy, the duet examined the nuts and bolts – carnal, mechanical and emotional – of a close encounter between two male bodies. In deliberately making this encounter visible, Queen-size posed questions around spectatorship, privacy and dissent. ","Firstly, the performance runs in a continuous 45-minute loop, allowing the audience to enter and leave the space as they wish, from different angles. It is reported to have caused a 'shift' in many peoples' perspectives - after watching it. It is strongly non-durational and non-linear. There's a strong play with bodies, lights, props and music - navigating between dance/movement and performance art. ","Mandeep Raikhy, bodies, dance, article 377, homosexuality, performance art. ",storytelling,interactive,absurd,https://vimeo.com/207270036?share=copy Contact Mandeep at: mandeepraikhy@gmail.com,Body
21,A Male Ant Has Straight Antenna (2015) | Mandeep Raikhy,Dance | English,Experimental Dance ,Experimental Dance,53 minutes,"This is an ensemble dance performance publicly questioning various notions of masculinity - through the use of games, movement and touch. In an arena-like setting, bodies move around, playing with masculinity in different ways. It thus challenges myopic perspectives on the male body - and its orientations. Both male and female bodies move, contort and question this central quandary - in interesting, yet disturbing ways.  
","Following the Nirbhaya case of 2012, this piece of Raikhy emerged in response to ideas of gender hierarchy in the capital. Through this, Mandeep also seems to be exploring his own ideas of male bodies and masculinity; between hyper-expressive and effeminate ones. There's satire, abstraction and play - and Raikhy is able to use movement to describe what he can't with words. Bodies are explored, contorted, moved in different ways, singular and duet-based. What makes this unique and radical is this very subversion of body - through synchronic, abstract and radical movements - that makes the performance hard to define. 'A Male Ant' is queer in how it plays around with form and content quite effectively - and puts the audience at ease. ","Mandeep Raikhy, bodies, dance, masculinity, touch, relationships, homosexuality, abstraction.",resistance,identity,social commentary,https://vimeo.com/154162628?share=copy Contact Mandeep at mandeepraikhy@gmail.com,Body
22,Chrysalis (2023) | Artrysis,Drag | English,,Drag,NA. ,"Presented by Goa's Ryle Souto i.e. 'Artrysis', Chrysalis is a drag performance. Deeply evocative in nature, it is arguably about the author's queer journey, shown through wacking (dance) in a flower-styled costume - meant to signify 'growth' over time. It is about undoing the limitations and insecurities 'lined' within a body: and blooming in a new way, like a flower. ","Skanky and alternative in nature, it features avant-garde forms of makeup by the artist - and envisions body horror/fantasy in a new way; it is the latter element that possibly separates it from 'usual' drag. Like many drag shows that present queer or trans subjectivities in new ways, Artrysis's particular performance also does this in a playful yet disturbing way. Experimental and performance art in nature, it creates a beautiful blend of interesting form, props, makeup and dance. It is drag that horrors, astounds yet makes one think as an audience. Artrysis themselves see their drag and performance as reflexive: and adaptable to different venues. It is their politics as an indie artist which makes their selection worthwhile.","Drag, Artrysis, Horror, Experimental, Alternative art, Chrysalis, Camp, Performance art.",experimental,fusion,desire,Short reel clip: https://www.instagram.com/reel/Cnd1MyKj7Sk/?igshid=MzRlODBiNWFlZA%3D%3D Artrysis can be found at: soutoryle@gmail.com. Their website is https://sites.google.com/view/artrysis/performance-gallery?authuser=0,Rewritings
23,"Be-Loved (19th October, 2024) | Sapan Saran & Tamasha Theatre 
| KNMA Theatre Festival,
Sundar Nursery ","Theatre | Multilingual
",,Theatre,80-90 minutes,"This play, directed by Sapan Saran and performed by Tamasha Theatre, is an anthological exploration of queer love stories in an Indian context - using live music, fluid choreography and humour. With heartfelt coming-out stories and a search for ""happily ever after,"" it presents a vibrant patchwork of relationships. The performance skillfully balances song, dance, and emotion to depict the transformative power of love amidst societal pressures. It blends diverse Indian languages (Gujarati, Hindi, Urdu, Hindustani, English and Bengali) with non-linear storytelling to reflect the fluid, multifaceted experiences of queer love in India. ","Be-loved's active engagement with the audience creates an interactive space that invites reflection - and challenges societal norms surrounding romantic relationships. Fast-paced stories and the fusion of multiple languages help create a compelling, queer narrative. The performance is deeply introspective, encouraging the audience to reflect on their own roles in shaping gender perceptions. The play dynamically blends personal and political themes while experimenting with form and method, exploring queerness, the fluidity of love, and the notion of ""happily ever after"". Set in an open theatre, the play features bold, music-driven performances and public displays of sexuality through kiss scenes and intimate acts. The actors engage in highly physical interactions that challenge and break conventions between the body, space, and spectatorship.","Queer love, Anthology, Musical, Theatre, Joy, Poetry, Dance, Sexuality, Body, Space. ",fusion,LGBTQIA+,interactive,Be-loved. One can contact the theatre company at admin@tamasha.org.uk,Body
24,"Sadda Haq (2011) | Yaariyan | Queer Azadi March, Mumbai",\Dance Flashmob | Hindi,,Bollywood Dance,5-6 minutes,"The words Sadda Haq means 'my right'. Sadda Haq was Asia's first queer flash mob that took place in 2011. It was held as part of Queer Azadi March, Mumbai, organized by Yaariyan. More than 50+ queer individuals came out, and danced to Bollywood songs, as a celebration and claim for queer freedom and equality in India. ","Most Youtube searches of 'queer performance india' often lead to videos of queer flash mobs - many organized by the organization Yaariyan themselves. This led me to Sadda Haq, the first such mob to happen in Asia.  A flash dance mob on queer issues - but importantly reclaiming public issues, and disrupting public movement to communicate queer questions - stood out to me. Being the first ever such event to be organized by India, and the first one by Yaariyan, contributed in making this an important queer performance. Short, funny and 'masala' in nature, the sheer abruptness of the mob was queer to me. Mixing different genres of songs, while simultaneously chanting anthems and slogans of queer identity, the celebratory nature of the mob was beautiful.  ","Sadda Haq, Flash Mob, Queer, Bollywood, Dance, Azadi, Yaariyan, Section 377, Public. ",LGBTQIA+,community,,Sadda haQ - It's My Right! - Indian queer flash mob,Space
