name,genre,active,contact,link,keyword
Revival Disability Magazine,Magazine,2020,,https://www.instagram.com/revivaldisabilitymag/,Queer Narratives
Queer Adda,Support Group,2020,,https://www.facebook.com/qamumbai/,Queer Narratives
Queeristaan,Magazine,2020,queeristaan@gmail.com,https://queeristaan.org/,Queer Narratives
Himachal Queer Collective,Support Group,2021,himachalqueercollective@gmail.com,https://www.instagram.com/himachalqueercollective/,Queer Narratives
Wansa: We Are Listening,Support Group,2021,perspective@gmail.com,https://themindclan.com/sharing_spaces/wansa-20042021/,Women's Narratives
The Indian Women's Project,Digital Archive,2021,indianwomenproject@gmail.com,https://www.theindianwomensproject.com/,Women's Narratives
The Indian Queer Project,Digital Archive,2021,,https://www.facebook.com/theindianqueerproject,Queer Narratives
The Indian Gender Project,Digital Archive,2021,theindiangenderproject@gmail.com,https://www.theindiangenderproject.com/,Community
"QAHAANI- Queer Affirmative Healthcare Advocacy Action Network, India.",Digital Advocacy,2021,,https://www.instagram.com/qahaan.i/,Queer Narratives
Dhoopbisscuitzine,Magazine,2021,,https://issuu.com/dhoopbisscuitzine,Women
Land of Maveli,Art Project,2021,contact@mavelinaducollective.com,https://mavelinaducollective.com/,Art
Drishti: A Queer Collective,Community,2021,,https://www.instagram.com/drishtiaqueercollective/,Queer Narratives
"Feminist Law Archives: Chronicling the Engagement of the Women's Movement with Law
",Digital Archive,,admin@pldindia.org,http://feministlawarchives.pldindia.org/,Women
LGBTQ India Resource,Digital Archive,,bhagirathkhuman@yahoo.com,https://lgbtqindiaresource.in/,Archive
Women's Studies Portal,Digital Archive,,,http://www.womenstudies.in/orgs/ugcwsc_org1.htm,Women
Rainbow Manipur,Blog,,,https://rainbowmanipur.wordpress.com/,Queer Narratives
