name,artform,duration,plot,rationale,keywords,limitations,link,
Queen Size (2016) | Mandeep Raikhy,Dance,45 minutes,"Choreographed by Mandeep Raikhy, it is an exploration - in response to article 377 - that took the form of a detailed study of the intimacy and lovemaking between two men. Played out on a charpoy, the duet examined the nuts and bolts – carnal, mechanical and emotional – of a close encounter between two male bodies. In deliberately making this encounter visible, Queen-size posed questions around spectatorship, privacy and dissent. ","Firstly, the performance runs in a continuous 45-minute loop, allowing the audience to enter and leave the space as they wish, from different angles. It is reported to have caused a 'shift' in many peoples' perspectives - after watching it. It is strongly non-durational and non-linear. There's a strong play with bodies, lights, props and music - navigating between dance/movement and performance art. ","Mandeep Raikhy, bodies, dance, article 377, homosexuality, performance art. ",Limited visual material. ,https://vimeo.com/207270036?share=copy Contact Mandeep at: mandeepraikhy@gmail.com,
A Male Ant Has Straight Antenna (2015) | Mandeep Raikhy,Dance,53 minutes,"This is an ensemble dance performance publicly questioning various notions of masculinity - through the use of games, movement and touch. In an arena-like setting, bodies move around, playing with masculinity in different ways. It thus challenges myopic perspectives on the male body - and its orientations. Both male and female bodies move, contort and question this central quandary - in interesting, yet disturbing ways.  
","Following the Nirbhaya case of 2012, this piece of Raikhy emerged in response to ideas of gender hierarchy in the capital. Through this, Mandeep also seems to be exploring his own ideas of male bodies and masculinity; between hyper-expressive and effeminate ones. There's satire, abstraction and play - and Raikhy is able to use movement to describe what he can't with words. Bodies are explored, contorted, moved in different ways, singular and duet-based. What makes this unique and radical is this very subversion of body - through synchronic, abstract and radical movements - that makes the performance hard to define. 'A Male Ant' is queer in how it plays around with form and content quite effectively - and puts the audience at ease. ","Mandeep Raikhy, bodies, dance, masculinity, touch, relationships, homosexuality, abstraction.",Limited visual material.,https://vimeo.com/154162628?share=copy Contact Mandeep at mandeepraikhy@gmail.com,
"Be-Loved (19th October, 2024) | Sapan Saran & Tamasha Theatre 
| KNMA Theatre Festival,
Sundar Nursery ","Theatre
 ",80-90 minutes,"This play, directed by Sapan Saran and performed by Tamasha Theatre, is an anthological exploration of queer love stories in an Indian context - using live music, fluid choreography and humour. With heartfelt coming-out stories and a search for ""happily ever after,"" it presents a vibrant patchwork of relationships. The performance skillfully balances song, dance, and emotion to depict the transformative power of love amidst societal pressures. It blends diverse Indian languages (Gujarati, Hindi, Urdu, Hindustani, English and Bengali) with non-linear storytelling to reflect the fluid, multifaceted experiences of queer love in India. ","Be-loved's active engagement with the audience creates an interactive space that invites reflection - and challenges societal norms surrounding romantic relationships. Fast-paced stories and the fusion of multiple languages help create a compelling, queer narrative. The performance is deeply introspective, encouraging the audience to reflect on their own roles in shaping gender perceptions. The play dynamically blends personal and political themes while experimenting with form and method, exploring queerness, the fluidity of love, and the notion of ""happily ever after"". Set in an open theatre, the play features bold, music-driven performances and public displays of sexuality through kiss scenes and intimate acts. The actors engage in highly physical interactions that challenge and break conventions between the body, space, and spectatorship.","Queer love, Anthology, Musical, Theatre, Joy, Poetry, Dance, Sexuality, Body, Space. ","The treatment is sometimes of a highschool musical, which offput many audiences. There's an underbelly of excess joyousness in how queerness has been depicted here, at times - but it definitely is counteracted by how certain personal stories were dealt with at depth. ",Be-loved. One can contact the theatre company at admin@tamasha.org.uk,
Gentleman's Club AKA Tape (2022) | Amey Mehta,Theatre,80 minutes,"Set in the underground club scene of Mumbai, India's first drag king play, choreographed by Amey Mehta, explores drag in an Indian context. It follows lives of various drag 'kings' who perform in the city. Led by a main act called Rocky, who mimics Shammy Kapoor, this cabaret-like ensemble of female drag performers introduces stories - that intimately celebrate desire, satire and secrecy in the city. ","The play subverts masculine troupes through the performances of female 'drag' - in an imagined, inclusive city queer culture. The underground nature of the show adds a mystic element to a cocktail of music, dance and theatre. It is deeply experimental in nature - and uses Bollywood to add to what is essentially a glitzy setting of light, costume and stage design; there's a good use of dialogue that is both humorous and critical. Its queerness is also prominent in its adaptability: it is an act that can be adjusted to any venue. ","Gentleman's club, Drag king, Mumbai, Queer, Rocky, Bollywood. ",,Gentleman's Club - Facebook,
Begum Barwe (1979) by Satish Alekar,Theatre,120 minutes,"Begum Barwe follows the story of a school teacher with a fascination for female characters from traditional Marathi plays, creating a fantasy world where he imagines himself in different gender roles. The play navigates the intersections of fantasy, desire, and queer identity in a conservative society, blending humor with deep psychological exploration. The protagonist's internal conflict reflects the repression of queerness in traditional, heteronormative Indian society.","This play critiques societal norms by challenging conventional gender roles and exploring the fluidity of identity. It reflects early representations of queerness in Marathi theatre, using the protagonist's escapism as a metaphor for the wider societal repression of non-normative desires. The play plays a vital role in shaping queer discourse by bringing queerness into a public conversation long before mainstream acceptance.","Performing arts, gender fluidity, fantasy, repression, queer identity, societal norms, Marathi theatre","NA
",https://youtu.be/Q0MJMJ63jMo?si=alhcWp5vK5Bbnbu0   https://youtu.be/7lpoNuKhavs?si=GNYwUtnwDeaCBtij   https://m.facebook.com/profile.php?id=116511135063781 ,
Strip Tease,Performance Art/Strip Tease/Drag,8:49 minutes,"Patruni Chidananda Sastry's performance ""Strip Tease"" skillfully navigates themes of identity, consent, and the #MeToo movement, employing drag and performance art to challenge societal norms surrounding gender and sexuality. By using the act of stripping as a means of exploration, Sastry invites the audience to confront their perceptions, emphasizing vulnerability and empowerment​.","This performance serves as a powerful commentary on the intersection of queer identities and the stigma often associated with them. Sastry's work not only highlights the complexities of self-expression but also aims to foster dialogue about consent and autonomy, particularly within a cultural context that can be resistant to such discussions","Patruni Sastry, queer artist, performance ",NA,Strip Tease | Performance Art | #MeTOO |Patruni Chidananda Sastry,
The Dancing Queens,Dance,1 hour,"A performance by a transgender-led dance troupe, The Dancing Queens is a multimedia performance that intertwines dynamic dance and short films to explore transgender identities and experiences. The dancers express their personal journeys through fluid choreography, embodying stories of love, acceptance, and struggle, while interspersed films provide deeper context to their narratives. Each segment reflects a range of emotions, capturing the complexities of navigating life as transgender individuals. The performance culminates in a powerful finale, celebrating solidarity and joy, and advocating for the rights of all to live authentically.","The Dancing Queens is essential for the queer archive as it represents a pioneering effort to center transgender voices within the performing arts. Through their choreography and multimedia approach, the troupe challenges societal norms and advocates for LGBTQ+ rights, offering a vital perspective on identity, love, and acceptance. The performance's integration of film and dance allows for a rich, multi-layered exploration of queer experiences, making it a significant contribution to the archive’s mission of showcasing diverse narratives and fostering visibility for marginalized communities.","Dance, queer, group, transgender",The entire performance is not available online.,Dancing Queens - Performance Highlights,
"Wa*cking kya hai aap meri jaan lijiye (November 20, 2023) | Sangram Mukhopadhyay | Blackbox, Ashoka University",Wacking,60 minutes,"Performed by Sangram Mukhopadhyay, an emerging queer artist from Kolkata, this wacking performance explores the self, and its confusions with gender/identity. It explores the avenue of claiming open-ness in stretching the foundation of a form - and allies with queer refusal.","In essentially practicing wacking, a 1970s LA gay club style dance form, Sangram is mixing Indian classical mudras of arm and hand movement. There's a lot of play with light, space, shadow and movement, which offers flexibility to the performance. The auto-narrative style of dance and visuality infuses well with historical references to the dance form - while creating very commentary on dance as a form. ","Sangram, CSGS, Wacking, LA, Gay Club Dance, Dance, queer, gender, mudras, movement. ",There's no visual clip available - but I am hoping CSGS could provide some visuals for this performance. ,CS... - Centre for Studies in Gender and Sexuality - Ashoka University | Facebook,
Mukul & Pratik's dance duet (2020) | Choreography by Pratik Utekar | India's Best Dancer,Dance,3-4 minutes (approx.),"Performed by two dancers in the 2020 edition of India's Best Dancer - this dance duet to the tunes of Tu Hi Re brought in contemporary dance to showcase the queer love between two boys - and how that is disrupted through one being forced into child marriage. It is a deeply emotional tale of longing, loss and emotion. The show is about dancers performing solo performances for the final 'big' prize of India's 'Best Dancer' - here, with Pratik being the choreographer-dancer, Muku was the contestant. ","While the theme actively deals with a queer angle, its infusion of contemporary dance with much different, exaggerated body movements makes for an interesting watch. The use of the cloth, the high acrobatics, and the musical and theatrical beginnings all make for an interesting queer performance. The moments when the dancers emotionally spill-over beyond the act - and the way they interact with the audience - remain key elements of the act. ","Mukul, pratik, india's best dancer, set india, queer, lgbtq, dance, tu hi re, child marriage.",,"Mukul और Pratik के "" तू ही रे"" Performance ने किया Judges को Emotional! | India's Best Dancer - YouTube",
A Thousand Years of Dreaming (2024) | Debashish Paul,Film/Sculpture/Art (Studio Exhibition) | English,7 minutes clip (available) - Full Film Length NA,"Debashish Paul's A Thousand Years of Dreaming uses performance art, sculpture, and film to explore queer identity in small-town India. His work reflects the struggles of queer men who conceal their desires due to societal pressures. The exhibition features performance stills, drawings, and sculptures based on the film Hazaro Saalon ka Sapna, where Paul merges personal narratives with ritualistic play, drawing inspiration from mythology, particularly queer depictions of gods like Shiva and Krishna. ","The form & content of this artwork makes another great queer performance - especially through the use of the three mediums. Despite working with big studios now, Paul's upbringing was certainly one of importance as he discusses navigating queerness in small-town India. The mixture of various forms coming together in the final exhibition - as well as in the film 'Beyond Body and Gender' mentioned here - makes it an abstract, surreal watch. ","Body, Transformation, Queerness, Performance Art, Desire, Religion. ",The lengths of the two-part film series in A Thousand Years of Dreaming was not available - and the artist would require contacting for a more longer clip as well. The physical nature of his exhibitions poses a challenge to be archived digitally as well. ,"https://youtu.be/9sxcfPCzm_I  - 'Beyond Body and Gender', the film clip.      https://drive.google.com/file/d/1s-OWdBV8pzVa3lt3y7XBXm2Jm2SA_kW5/view?usp=drive_web ",
Disabled' - by Abhishek Anica,Spoken Word Poetry,"5 minutes, 8 seconds ","Abhishek Anica is a queer writer and actor with disability. This performance was staged at the Performer's Consortium held for the Microsoft & Nipman Foundation Equal Opportunity Awards 2017 in Delhi.  In this performance, Anica uses spoken word and an expressive body language to talk about his experience with disability and the absurdity of society's perception of a 'cripple'.  ","The performer's work presents a unique intersectional perspective to performance. When a queer body is also disabled, how does the doubly marginalised body choose to perform? Hilariously parallelling 'inspiration' derived from articles to orgasms, Anica satirises a society that oscillates between pitying them for their disability and placing them on a pedestal for the same. Articulately, they quip, ""These eyes make me the star of an unknown showmanship""","Spoken Word, queer, disabled",The performer also has a short film they tend to screen with their poetry performances but that remains unavailable online (apart from the trailer),https://youtu.be/RSfAm3V5pCY?si=eZ9yAEa7jSYTzdnm,body
Confessions of an Asexual Romantic',Spoken Word Poetry,"6 minutes, 9 seconds","Sriti Jha, a well known television actress performs a spoken word describing her relationship with romance and sex as an asexual romantic. ","Firstly, the performer represents an industry which has viewed women most regressively for the longest time, the very idea of their identities transcending the family itself being unfathomable. Asexuality is often doubly marginalised in a discourse that sexualises the queer body in the name of visibility. In a society deeply conditioned about who, how and why to desire, the question of what kind of desire or why even desire falls from between the cracks. This poem queers the heteronormative definitions of sex and romance, making both subjective to identity or being, as the poet claims her right to romance simultaneous to the right to dissociate with conventional sexuality. ","Spoken word, queer",,https://youtu.be/cSjsVurx0k4?si=j5nIFAF2F9MzHRJN,body
Tara' by Mahesh Dattani,Theatre,"1 hour, 30 minutes ","Tara' by Mahesh Dattani portrays the lives of two siblings, born in the bodies of a boy and a girl. When Tara (the female-bodied sibling) struggles with disability, the parents and doctor make medical decisions for her dictated by their patrairchal notions of gendered bodies. By doing away with child or young-adult actors, the director highlights the absurdity of robbed agencies and guardianship. Unconventional for plays, the actors read from scripts on stage.","The manner in which the same play has been enacted in different reimaginings is deeply fascinating. In this rendition, the interplay of disability and gender have been highlighted through moments of dark humour and vulnerability displayed by the young disabled girl who struggled to meet the standards of a female and feminine body. The appearance and characterisation of Tara's character in the play is subtly queered. She is juxtaposed against a friend of hers who appears on stage dressed in a bright pink dress and a sympathetic disposition towards disability. Tara's disinterest and discomfort in a body constantly burdered with expectations of 'femininity' is expressed through dialogues and body language. The directorial choice to have actors read from scripts seems to be satire on a society that indeed seems to be reading from a prescribed text of heteronormativity and patriarchy. ","theatre, dattani",,https://youtu.be/xPNH-R36JwA?si=g23yZLTE8womNnXY,body
"Tanashah' by Navtej Johar, Natrani Theatre",Theatre,-,"With 'Tanashah', Navtej Johar portrays the otherwise hypermasculine figure of  Bhagat Singh with subtle fluidity. The solo performance follows the internal and external journey of the figure through lesser known incidents in his history, leading right up to his death. The performer uses physical theatre as his medium of expression and makes his body the fulcrum of this solo drama. ","Akin to most performances by. Navtej Johar, queerness functions in the undercurrents of the performance. Elaborate scenes such as that of him wearing the turban stretch through over five minutes, hinting to the performative process of 'becoming' a figure. The performance makes unconventional use of the body through strenuously slow floorwork. The conventionally hyper-masculine figure is enacted by Navtej Johar with a humanising fluidity. Scenes such as that comprising of Bhagar Singh sitting on a stool with his legs apart and straight and hands resting on the stool in the middle while delivering a monologue to the audience showcases a level of informality and playfulness that is seldom allowed in his interpretation of youth. Focus on the fact that Bhagat Singh had asked for a romantic saga, 'Heer-Ranjha' during his time behind bars and moreover, has sworn on it instead of the sacred books before being executed, is an indictment of love that is seldom allowed penetration in his accounts of bravery and patriotism. ","Navtej Johar, tanashah",Recording awaited,https://www.facebook.com/watch/?v=1230563801129245,body
Voh Ladkiyon Wala Naatak',Nautanki,-,"""वह लड़कियों वाला नाटक is a mixture of joyful, heartful stories of women being women, literally and figuratively. It is a humorous take on roles and rituals of women be it a thoughtful daughter, a working mother, a flirtatious maid or the goddess herself!
So, if you are still wondering, ki choli ke pichhe kya hai? Or kyun hai? Then with an open mind.. Kundi mat khadkaao raja, seedha andar aao raja"" - 'Voh Ladkiyon Wala Naatak', Instagram.","The play, which is still a running show features women in varying cultural contexts in moments of vulnerability and celebration. Their social media, which comprises of montages from the play and rehearsals set to well-known Hindi item numbers, reclaim sexuality. Through characters such as the flirtatious maid, they also manage to politicise marginalised bodies and their access to sexuality. Through the course of the play, they dorn varying avatars, including clowns, nightmares, mohalla aunties, mothers, maids, and more. As they embody the varyingly human, material and abstract, boundaries of all kinds are overstepped, including that of gender. Moreover, they succeed in telling stories of and from all spectrums of society. A review writes ""I dont remember the last time I saw women laugh like this, both on and off-stage. Come with your notebooks, they're redefining womanhood"".  ","Preeti Das, Play, Women",No recording availabe but they are performing in universities so invite possible,https://www.instagram.com/reel/CuL4qdqsxBT/?igsh=ZnI4bXA1b3VjdGg4,space
