region,Latitude,Longitude,scatterLat,scatterLong,count,name,location,type,active,contact,programs,keywords,keyword2,keyword3,id,color
Delhi,28.7040592,77.1024902,28.5540592,77.0024902,11,"Women in Security, Conflict Management, and Peace (WISCOMP)",https://wiscomp.org/,NGO,1999,wiscomp2006@gmail.com,"1. Ethicate: Education, Ethics and Peace: an ethics in education program
2. Reenvisioning security: Program on gender, conflict, and emerging formulations of security intersect in South Asia.
3. Deepening Democracy in South Asia Program: skill building for dialogue among women and youth led groups in South Asia.
4. Building Constitutions of Peace: facilitating Women and Youth-led Dialogue groups, convening academics, practitioners, policy makers, peace negotiators and media persons in non-hierarchical formats.
5. Countering Violence Against Women: Building leadership capacity among women's groups and advocacy against GBV.
6. Reinforcing Civil Society Networks: Building Peace Networks
7. Transcending Borders and Boundaries: Conflict transformation workshops
8. Nurturing Youth Capacities for Peace: Summer school teaching Conflict Transformation
9. Engendering Higher Education: Women, Leadership and Education Program",Capacity building,education,women's rights,42,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.0524902,12,Centre For Social Research (CSR India),https://www.csrindia.org/,NGO,1983,info1@csrindia.org,"1. Women's Relief Response to the COVID-19 Crisis program: advocacy, capacity building, and providing access to support services.
2. Political Leadership: Advocacy and campaign to the political empowerment of women
3. Women's Crisis Intervention Centre: Mediation and emergency assistance
4. Gender Water and Climate Change: climate action by promoting gender equality in collaboration with Self Help Groups (SHG) and Elected Women Representatives (EWR). 
5. Gender Transformative Training: for the corporate sector, development and the public sector. 
6. Beti Bachao Beti Padhao: Advocacy and campaign against sex-selective abortion, encouraging higher education of girl children.
7. Sports for Empowering Girls
8. Women's Skill Development training programs
9. Initiatives to support women musicians and projects focusing on digital participation, safety, and security of women and children",Capacity building,women's rights. advocacy,,43,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.1024902,13,Action India,https://www.action-india.org/,NGO,1976,actionindia1976@gmail.com,"1. Training programs on Women's Health and Reproductive Rights with a focus on ferrtility awareness,  informed choice and family planning, health, nutrition, and gender, self help centres, and gender based violence
2. Advocacy, awareness campaigns, and workshops on Women, Law, and Social Change with a special focus on Protection of Women Against Domenstic Violence Act, 2005 (PWDVA).
3. Awareness campaigns and programs in Right to Water and Sanitation along with women's collectives and Urban Local Bodies with special focus on Menstrual Hygiene Management
4. Save the Girl Child Campaign: Mobilisation of women against sex selective abortion, efforts to create safe city environment for girls and women, and campaigns to address and stop Violence Against Women
5. Making Girls Leader program by initiating Gender Equality peers educators in schools, Girls Learn International Scholarship program, and lifeskill and skill training for employment. ",Capacity building,women's rights. advocacy,,44,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.1524902,14,Rahi Foundation,https://www.rahifoundation.org/about.html,Community Organisation,1996,info@rahifoundation.org,"1. School Program: Adolescents for Sexual Abuse Prevention (ASAP), Prevention and intervention program against Child Sexual Abuse (CSE)
2. College Programs: Peer Education Program, sensitisation and training on handling CSE
3. Women Survivors Program (of Incest and CSA): Therapy, consultation, supervision, and referrals
4. The Firebird Project: Building women survivors as advocates through trainings and workshops
5. Workshops for other NGOs on capacity building",Sexual abuse prevention,support services,capacity building,45,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.2024902,15,Gather Sisters,https://gathersisters.com/,Community Organisation,2018,GatherAroundSisters@gmail.com,"1. Gatherings and discussions on sisterhood, the female gaze, matriarchy politics, intersectional politics, eco-feminism.
2. Community building. ",Women's rights,capacity building,,46,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.2524902,16,Pinjra Tod (Break the Cage),https://pinjratod.wordpress.com/,Community Organisation,2015,pinjratod@gmail.com,"Advocacy and campaigns for women's rights, affordable and non-gender discriminatory hostel accomodations",Women's rights,advocacy,,47,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.3024902,17,Zubaan,https://zubaanbooks.com/,Publishing House,2003,contact@zubaanbooks.com,"1, Fragrance of Peace: Extensive cultural and literary programs in India's Northeast region.
2. Stepping Stones and Body of Evidence: Using theatre, art, and poetry to talk about structures of violence, sexual violence and impunity.
3. Poster Women: A visual mapping of the Women's movement in India
4. Sexual Violence and Impunity project: A study into sexual violence in conflict areas across the South Asia region",Women's rights,advocacy,,48,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.3524902,18,"Women's Studies Centre, Jesus & Mary College, Delhi University",https://www.jmc.ac.in/compulsorysocieties/womensstudiescentre,Academic/ Research centre,2014?,jmcwsc@gmail.com,"1. Gender and Law, Certificate course, 2020
2. Gender analysis of the Lockdown, Certificate course, 2020
3. Public Health and Global Care Chains, Certificate course, 2021
4. LGBTQIA [PLUS] Writings from India, Certificate course, 2021
5. Gender and Media, Certificate course, 2021
6. Public Healthcare, Modern Medical Science and Capitalism: Contexualising India’s Health Crisis, Certificate course, 2021
7. Seminars, training workshops, and research with a focus on gendered realities",Education,Research,capacity building,49,#79A5AE
Delhi,28.7040592,77.1024902,28.5540592,77.4024902,19,"Centre For Women's Studies, Jawaharlal Nehru University",https://www.jnu.ac.in/sss/cws,Academic/ Research centre,2000,womenstudiesprogramme@gmail.com,"1. Interdisciplinary optional courses offered to Master of Arts students covering women's movement and gender studies, gender and political economy
2. Master of Philosophy program in Women's Studies covering the fields of labour, politics, political violence, development, religion, visual culture, ethnography and oral history.
3. Doctor of Philosophy program in Women's Studies
4. Workshops and seminars on feminist research and activism, film screenings
5. Interdisciplinary Research Students' Colloquium: Discussion forum for research scholars working on gender and sexuality issues",Education,Research,capacity building,50,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,76.9524902,20,"School of Gender and Development Studies, Indira Gandhi National Open University",http://ignou.ac.in/ignou/aboutignou/school/sogds/introduction,Academic/ Research centre,2007,sogds@ignou.ac.in,"1. Master of Arts in Gender and Development Studies
2. Master of Arts in Women and Gender Studies
3. Post-graduate diploma in Women and Gender Studies
4. Diploma in Women's Empowerment and Development
5. Doctor of Philosophy in Gender aand Development Studies
6. Doctor of Philosophy in Women's Studies
7. Forthcoming courses:
   7.1. Post graduate certificate course in Gender, Agriculture, and Sustainable Development
   7.2. Certificate course in Gender and Science
   7.3. Certificate course in Gender and Law
8. Gender sensitisation workshops",Education,Research,gender sensitisation,51,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.0024902,21,"Sarojini Naidu Centre For Women's Studies, Jamia Millia Islamia",https://www.jmi.ac.in/scws,Academic/ Research centre,2000,sncws@jmi.ac.in,"1. Master of Arts in Gender Studies  with a focus on Gendering History in India, Gender and Human Rights discourse, Gender, Culture, and Media, Feminist approach to Peace building, Gender Rights and Law in India and Women and Work in India
2. Doctor of Philosophy in Gender Studies
3. Parwaz: Radio program at Jamia radio focusing on issues women's health, work, and gender based violence
4. Counselling to survivors of GBV (physical and mental)
5. Seminars and conferences ",Education,Research,support services,52,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.0524902,22,"Centre for Women's Studies, Shri Lal Bahadur Shastri National Sanskrit University",https://www.slbsrsv.ac.in/administration/sections/centre-womens-studies/about-centre,Academic/ Research centre,2005,cwsvidyapeeth@gmail.com,"1. Ten days Foundation course in Women's Studies for University students focusing on National politices and Acts on Women's development
2. Workshops and seminars on gender sensitisation, women empowerment and development
3. Research projects on women through the ages ",Education,Research,gender sensitisation,53,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.1024902,23,"Centre for Gender, Culture and Social Processes, St. Stephen's College, University of Delhi",https://www.ststephens.edu/centre-for-gender-culture-social-processes/,Academic/ Research centre,2012,karengabriel@ststephens.edu,"1. Understanding Society (2012): Two months certificate course 
2. Key Concepts and Critical Thinking Certificate Course (2014): A two months course covering the concepts of caste, class, sexuality, gender, and the philosophy of science
3. Research Methodology and Academic Writing Certificate Course (2014): Four weeks long course 
4. Terrorism and Fundamentalism project
5. Conversations About Caste project
6. Translating Concepts project: Focusing on key concepts and their intersections of caste, class, religion, gender, sexuality, age, family, education, and location. 
7. Gender sensitisation workshops, conferences on gendered political economics",Education,capacity building,gender sensitisation,54,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.1524902,24,"Women's Studies and Development Centre of Advanced Study, University of Delhi",http://wsdc.du.ac.in/,Academic/ Research centre,1987,wsdc.du.office@gmail.com,"1. Short term courses on Gender and Society
2. UGC Refresher course in Women's Studies: Three weeks certificate course for college teachers focusing on Gender and Models of Development, Women in South Asia, Women and Human Rights, Feminist Theory and Practice, Gender, Culture and Development, and Gender Human Rights and Development
3. Workshops, training programs, advocacy, and campaigns on gender sensitisation, prevention of sexual harassment, and prevention of sexual violence
4. Seminars on Feminist theories and debates",Education,gender sensitisation,sexual abuse prevention,55,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.2024902,25,"Department of Gender Studies, School of Human Studies, Ambedkar University ",https://shs.aud.ac.in/,Academic/ Research centre,,bindukc@aud.ac.in,"1. Master of Arts in Gender Studies 
2. Master of Philosophy in Women and Gender Studies
3. Doctor of Philosophy in Women and Gender Studies
4. Academic research and other programs on issues related to women and gender.
",Education,Research,,56,#79A5AE
Delhi,28.7040592,77.1024902,28.6040592,77.2524902,26,Feminist Approach To Technology,https://www.fat-net.org/,NGO,2008,fat@fat-net.org,"1. Young Women's Leadership Program: Capacity building and skill development training for young women to learn computer and internet skills, run collective action using new media in their community, and work professionally for change
2. The Jugaad (Innovation) Lab For Girls: Program for underprivileged women's participation in Science, Technology, Engineering, and Mathemathics (STEM) in collaboration with schools
3. Advocacy Initiative: Forum discussions on Women's Movement and Technology. Advocacy for increase in women’s participation in technology-making and equal access to technology use.
4. Kadham Badhao: Radio show Girl Power Leaders at FAT",Women's rights,technology,advocacy,57,#79A5AE
