region,name,location,type,activeSince,contact,programs,keywords,comments,lat,lng
Delhi,Sangat: A Feminist Network,https://www.sangatnetwork.org/,NGO,1998,sangat.sangat@jagori.org,"1.Capacity Building
1.1. Feminist Capacity Building Course: Sangat month long course on Gender, Sustainable Livelihoods, Human Rights and Peace. 1.2. Two week Hindi course on Gender, Human Rights, Just Governance, Sustainable Development and Women’s Empowerment. 1.3. Two week feminist capacity building Bangla course.
1.4. Two week Tamil course on gender, femininity and masculinity, feminism, patriarchy, violence and law, reproductive rights, communalism, fundamentalism, globalisation and other relevant topics.
2. Campaigns and advocacy for peace, human rights, and against poverty.",Capacity Building courses,https://www.sangatnetwork.org/publications/,28.557163,77.163665
Gujarat,SWATI: Society for Women’s Action and Training Initiative,https://www.swati.org.in/,NGO,1994,swati.org@gmail.com,"1. Mahila Nyay Panchayat: provides services of mediation, counselling, and support to women facing violence.
2. Swa-Bhoomi Kendra: awareness campaigns and services for women's rights and land rights.
3. Nidhi: Saving and credit program for women
4. Parivartan Panchhi: Sensitising adolescent men and women on sexual and reproductive health rights
5. Khushali: Awareness campaigns Women Against Violence
6. Mahila Adhikar Sahayata Kendra: Women's rights help centre","Care and support services for women, Women's rights",,23.361661,71.64895
Jammu & Kashmir,Association of Parents of Disappeared Persons (APDP),https://apdpkashmir.com/,Community Organisation,1994,apdp.kashmir@yahoo.com,"1. Awareness campaigns against enforced disappearances and enforced silence
2. Documention of enforced disappearances in Kashmir since 1989
3. Legal aid and support to parents and family members of persons subjected to enforced diasappearances.",Legal aid and support services,,32.70197,74.871912
Jammu & Kashmir,Kashmir Women's Collective,https://www.facebook.com/kashmirwomenscollective/,NGO,,kashmirwomenscollective@gmail.com,"1. Gatherings to discuss women's safety and empowerment inside and outside of the home space.
2. Support system for women facing violence, discrimination, and oppression
3. Conversation and Climb: Gathering for trips and discussions on women's mobility, choice, and recreation.","Feminist space, Community building",,32.70197,74.871912
Jammu & Kashmir,"Mehram: Women’s Cell, Kashmir",facebook.com/MehramKashmir/,NGO,2018,mehramkashmir@gmail.com,"Services on upliftment, assistance and redressal of Kashmiri women against sexual and gender based violence.",Legal aid and support services,,32.70197,74.871912
Uttar Pradesh,The YP Foundation,https://theypfoundation.org/,Youth Organisation,2002,info@theypfoundation.org,"1. Feminist and Adolescent Youth-led Action: Comprehensive Sexuality Education (CSE) and Sexual and Reproductive Health and Rights (SRHR) awareness program 
2. Know Your Body, Know Your Rights: CSE on issues of health, sexuality and human rights
3. Learning Communities: Adolescent Girls' Leadership program
4. Mardon Wali Baat: systematic reflection, dialogue, and action around masculinity and Gender Based Violence (GBV)
5. Safe Abortion for Everyone (SAFE): Facilitationg research work and and advocacy for comprehensive abortion services in India
6. The Access Project: evidence generation and training programme that works towards advocating for young people’s right to quality health services without judgement, stigma and age related barriers.","Sexuality, Education, Sexual and Reproductive Health and Rights",https://www.youtube.com/c/TheYPFoundationIN/featured,26.879641,80.56982
Delhi,"Women in Security, Conflict Management, and Peace (WISCOMP)",https://wiscomp.org/,NGO,1999,wiscomp2006@gmail.com,"1. Ethicate: Education, Ethics and Peace: an ethics in education program
2. Reenvisioning security: Program on gender, conflict, and emerging formulations of security intersect in South Asia.
3. Deepening Democracy in South Asia Program: skill building for dialogue among women and youth led groups in South Asia.
4. Building Constitutions of Peace: facilitating Women and Youth-led Dialogue groups, convening academics, practitioners, policy makers, peace negotiators and media persons in non-hierarchical formats.
5. Countering Violence Against Women: Building leadership capacity among women's groups and advocacy against GBV.
6. Reinforcing Civil Society Networks: Building Peace Networks
7. Transcending Borders and Boundaries: Conflict transformation workshops
8. Nurturing Youth Capacities for Peace: Summer school teaching Conflict Transformation
9. Engendering Higher Education: Women, Leadership and Education Program","Education, Gender, Women's rights",,,
Delhi,Centre For Social Research (CSR India),https://www.csrindia.org/,NGO,1983,info1@csrindia.org,"1. Women's Relief Response to the COVID-19 Crisis program: advocacy, capacity building, and providing access to support services.
2. Political Leadership: Advocacy and campaign to the political empowerment of women
3. Women's Crisis Intervention Centre: Mediation and emergency assistance
4. Gender Water and Climate Change: climate action by promoting gender equality in collaboration with Self Help Groups (SHG) and Elected Women Representatives (EWR). 
5. Gender Transformative Training: for the corporate sector, development and the public sector. 
6. Beti Bachao Beti Padhao: Advocacy and campaign against sex-selective abortion, encouraging higher education of girl children.
7. Sports for Empowering Girls
8. Women's Skill Development training programs
9. Initiatives to support women musicians and projects focusing on digital participation, safety, and security of women and children","Training programs, Women's rights",Also has a podcast,28.557163,77.163665
Delhi,Action India,https://www.action-india.org/,NGO,1976,actionindia1976@gmail.com,"1. Training programs on Women's Health and Reproductive Rights with a focus on ferrtility awareness, informed choice and family planning, health, nutrition, and gender, self help centres, and gender based violence
2. Advocacy, awareness campaigns, and workshops on Women, Law, and Social Change with a special focus on Protection of Women Against Domenstic Violence Act, 2005 (PWDVA).
3. Awareness campaigns and programs in Right to Water and Sanitation along with women's collectives and Urban Local Bodies with special focus on Menstrual Hygiene Management
4. Save the Girl Child Campaign: Mobilisation of women against sex selective abortion, efforts to create safe city environment for girls and women, and campaigns to address and stop Violence Against Women
5. Making Girls Leader program by initiating Gender Equality peers educators in schools, Girls Learn International Scholarship program, and lifeskill and skill training for employment.","Training programs, Health and reproductive rights, Women's rights",,28.557163,77.163665
Delhi,Rahi Foundation,https://www.rahifoundation.org/about.html,Community Organisation,1996,info@rahifoundation.org,"1. School Program: Adolescents for Sexual Abuse Prevention (ASAP), Prevention and intervention program against Child Sexual Abuse (CSE)
2. College Programs: Peer Education Program, sensitisation and training on handling CSE
3. Women Survivors Program (of Incest and CSA): Therapy, consultation, supervision, and referrals
4. The Firebird Project: Building women survivors as advocates through trainings and workshops
5. Workshops for other NGOs on capacity building",Sexual abuse prevention programs,,28.557163,77.163665
Delhi,Gather Sisters,https://gathersisters.com/,Community Organisation,2018,GatherAroundSisters@gmail.com,"1. Gatherings and discussions on sisterhood, the female gaze, matriarchy politics, intersectional politics, eco-feminism.
2. Community building.","Intersectional feminism, Women's rights",Started in the aftermath of #MeToo,28.557163,77.163665
Delhi,Pinjra Tod (Break the Cage),https://pinjratod.wordpress.com/,Community Organisation,2015,pinjratod@gmail.com,"Advocacy and campaigns for women's rights, affordable and non-gender discriminatory hostel accomodations","Intersectional feminism, Women's rights",,28.557163,77.163665
Uttar Pradesh,Sayfty: Empowering Women Against Violence,https://sayfty.com/,Non-profit organisation,2013,team@sayfty.com,"1. SafeUnsafe Touch: Educational and awareness raising workshop on child sexual abuse
2. 16 Days of Activism Against Gender Based Violence: Yearly intrernational campaign to adress GBV
3. Self Defence workshops, advocacy and social media campaigns for gender equality and safe space.",Sexual abuse prevention programs,,26.879641,80.56982
Delhi,Zubaan,https://zubaanbooks.com/,Independent Feminist Publishing House,2003,contact@zubaanbooks.com,"1, Fragrance of Peace: Extensive cultural and literary programs in India's Northeast region.
2. Stepping Stones and Body of Evidence: Using theatre, art, and poetry to talk about structures of violence, sexual violence and impunity.
3. Poster Women: A visual mapping of the Women's movement in India
4. Sexual Violence and Impunity project: A study into sexual violence in conflict areas across the South Asia region","Women's rights, Feminist artistic projects",,28.557163,77.163665
Uttar Pradesh,Joint Women's Programme,https://www.jwpindia.org/,Non-profit organisation,1977,0124 405 3370,"1. Women, Children, and Fundamental Rights: Project Mera Sahara
2. Education: campaigns for free, mandatory primary education for all children in slums and rural areas
3. Health: Focus on awareness programs, capacity building, and community-based responses
4. Women in Decision Making: Advocacy for women's rights and laws, training women for political leadership
5. Gender sensitisation programs, skill training, and basic law awareness programs
6. Action Against (gender based) Violence","Education, Health, Women's rights, Child 's rights",,26.879641,80.56982
Delhi,"Women's Studies Centre, Jesus & Mary College, Delhi University",https://www.jmc.ac.in/compulsorysocieties/womensstudiescentre,Academic Centre,2014?,jmcwsc@gmail.com,"1. Gender and Law, Certificate course, 2020
2. Gender analysis of the Lockdown, Certificate course, 2020
3. Public Health and Global Care Chains, Certificate course, 2021
4. LGBTQIA [PLUS] Writings from India, Certificate course, 2021
5. Gender and Media, Certificate course, 2021
6. Public Healthcare, Modern Medical Science and Capitalism: Contexualising India’s Health Crisis, Certificate course, 2021
7. Seminars, training workshops, and research with a focus on gendered realities","Education, Gender, Sexuality, Research",,28.557163,77.163665
Delhi,"Centre For Women's Studies, Jawaharlal Nehru University",https://www.jnu.ac.in/sss/cws,Academic Research Centre,2000,womenstudiesprogramme@gmail.com,"1. Interdisciplinary optional courses offered to Master of Arts students covering women's movement and gender studies, gender and political economy
2. Master of Philosophy program in Women's Studies covering the fields of labour, politics, political violence, development, religion, visual culture, ethnography and oral history.
3. Doctor of Philosophy program in Women's Studies
4. Workshops and seminars on feminist research and activism, film screenings
5. Interdisciplinary Research Students' Colloquium: Discussion forum for research scholars working on gender and sexuality issues","Education, Gender, Sexuality, Research",,28.557163,77.163665
Delhi,"School of Gender and Development Studies, Indira Gandhi National Open University",http://ignou.ac.in/ignou/aboutignou/school/sogds/introduction,Academic Research Centre,2007,sogds@ignou.ac.in,"1. Master of Arts in Gender and Development Studies
2. Master of Arts in Women and Gender Studies
3. Post-graduate diploma in Women and Gender Studies
4. Diploma in Women's Empowerment and Development
5. Doctor of Philosophy in Gender aand Development Studies
6. Doctor of Philosophy in Women's Studies
7. Forthcoming courses:
7.1. Post graduate certificate course in Gender, Agriculture, and Sustainable Development
7.2. Certificate course in Gender and Science
7.3. Certificate course in Gender and Law
8. Gender sensitisation workshops","Education, Gender, Research",,28.557163,77.163665
Delhi,"Sarojini Naidu Centre For Women's Studies, Jamia Millia Islamia",https://www.jmi.ac.in/scws,Academic Research Centre,2000,sncws@jmi.ac.in,"1. Master of Arts in Gender Studies with a focus on Gendering History in India, Gender and Human Rights discourse, Gender, Culture, and Media, Feminist approach to Peace building, Gender Rights and Law in India and Women and Work in India
2. Doctor of Philosophy in Gender Studies
3. Parwaz: Radio program at Jamia radio focusing on issues women's health, work, and gender based violence
4. Counselling to survivors of GBV (physical and mental)
5. Seminars and conferences","Education, Gender, Research",,28.557163,77.163665
Delhi,"Centre for Women's Studies, Shri Lal Bahadur Shastri National Sanskrit University",https://www.slbsrsv.ac.in/administration/sections/centre-womens-studies/about-centre,Academic Research Centre,2005,cwsvidyapeeth@gmail.com,"1. Ten days Foundation course in Women's Studies for University students focusing on National politices and Acts on Women's development
2. Workshops and seminars on gender sensitisation, women empowerment and development
3. Research projects on women through the ages","Education, Gender, Research",,28.557163,77.163665
Haryana,"Women's Studies Research Centre, Kurukshetra University",https://www.kuk.ac.in/information.php?m=Yg==&L01_id=MTE=&L01_direction=H&L02_id=ODQ=,Academic Research Centre,1989,chairperson.wsc@kuk.ac.in,"1. Master of Arts in Women's Studies
2. Post-graduate Diploma course in Women's Studies
3. Gender equity awareness programs
4. Seminars and conferences with a focus on gender sensitisation., sustainable development, and legal rights","Education, Gender, Research",,28.176846,76.711242
Himachal Pradesh,"Centre for Women's Studies and Development, Himachal Pradesh University",https://hpuniv.ac.in/university-detail/home.php?women-studies-and-development,Academic Research Centre,2001,cwsdhpus@gmail.com,"1. Workshops and programs with a focus on women, development, and health.
2. Capacity building programs for women in management
3. Seminars on gender based violence, child sexual abuse, and human rights
4. Gender sensitisation campaigns, consumer awareness programs, and self-defence trainings
5. Implemented Gender Champions Scheme under the Ministry of Women and Child Developement","Education, Gender, Research",,31.90226,77.274759
Jammu & Kashmir,"Centre for Women's Studies, University of Jammu",https://www.jammuuniversity.ac.in/cws/introduction,Academic Research Centre,2005,0191 2435248 Ext. 2882,"1. Three months certificate course on gender issues, since 2006
2. Three months certificate course on women and law, since 2012
3. Gender sensitisation workshops and seminars with a focus on gender equality and women's empowerment
4. Skill development training programs as part of capacty building
5. Fiedldwork with comunity women, self-help groups and other organisations on issues like nutrition, health, and women's development","Education, Gender, Research",,32.70197,74.871912
Delhi,"Centre for Gender, Culture and Social Processes, St. Stephen's College, University of Delhi",https://www.ststephens.edu/centre-for-gender-culture-social-processes/,Academic Research Centre,2012,karengabriel@ststephens.edu,"1. Understanding Society (2012): Two months certificate course 
2. Key Concepts and Critical Thinking Certificate Course (2014): A two months course covering the concepts of caste, class, sexuality, gender, and the philosophy of science
3. Research Methodology and Academic Writing Certificate Course (2014): Four weeks long course 
4. Terrorism and Fundamentalism project
5. Conversations About Caste project
6. Translating Concepts project: Focusing on key concepts and their intersections of caste, class, religion, gender, sexuality, age, family, education, and location. 
7. Gender sensitisation workshops, conferences on gendered political economics","Education, Gender, Research",,28.557163,77.163665
Delhi,"Women's Studies and Development Centre of Advanced Study, University of Delhi",http://wsdc.du.ac.in/,Academic Research Centre,1987,wsdc.du.office@gmail.com,"1. Short term courses on Gender and Society
2. UGC Refresher course in Women's Studies: Three weeks certificate course for college teachers focusing on Gender and Models of Development, Women in South Asia, Women and Human Rights, Feminist Theory and Practice, Gender, Culture and Development, and Gender Human Rights and Development
3. Workshops, training programs, advocacy, and campaigns on gender sensitisation, prevention of sexual harassment, and prevention of sexual violence
4. Seminars on Feminist theories and debates","Education, Gender, Research",,28.557163,77.163665
Punjab,"Women's Studies Centre, Punjabi University",http://www.punjabiuniversity.ac.in/pages/Department.aspx?dsenc=94,Academic Research Centre,2009,director@wscpedia.org,"1. Master of Arts in Women's Studies
2. Post-graduate diploma in Women and Child Development
3. Post-graduate diploma in Gender Studies","Education, Gender, Research",,31.110484,72.384598
Rajasthan,"Women's Studies Centre, Banasthali Vidyapith",http://www.banasthali.org/banasthali/wcms/en/home/lower-menu/faculties/social-science/sociology/womenstudycentre.html,Academic Research Centre,2005,wsrc.bv@gmail.com,"1. Post-graduate diploma in Women and Human Rights
2. Women Empowerment course under Master of Social Work
3. Foundation course for undergraduate students, titled Women in Indian Society
4. Compulsory interdisciplinary paper for postgraduate students, titled Women Studies
5. Counselling services
6. Workshops, conferences, and awareness programs with a focus on gender sensitisation, women's development, gender based violence, and human rights awareness","Education, Gender, Research",A sister wing of the department of Sociology,26.950688,73.786591
Chandigarh,"Department cum Centre for Women's Studies and Development, Panjab University",https://cwsd.puchd.ac.in/,Academic Research Centre,1987,,"1. Master of Arts in Women Studies
2. Doctor of Philosophy in Women's Studies
3. Training and interdisciplinary programs with a focus on development studies and human rights law
4. Gender senstisation and women's empowerment programs","Education, Gender, Research",,30.728092,76.7784
Haryana,"Women's Studies Centre, Maharshi Dayanand University",https://mdu.ac.in/defaultMatter.aspx?PageId=292,Academic Research Centre,2010,womenstudies.mdu@gmail.com,"1. Workshops and seminars with a focus on women's empowerment and development, gender based violence, gender inequality, and women's rights.
2. Community outreach programs with a focus on women, health, and legal issues
3. Research projects on customary traditions, social change, and the marriage institution. 
4. Gender sensitisation programs","Education, Gender, Research",,28.176846,76.711242
Rajasthan,"Centre for Women's Studies, Birla Institute of Technology and Science",https://www.bits-pilani.ac.in/Pilani/centres,Academic Research Centre,2005,,"1. Research project documenting women empowerment programs in Sekawati region, Rajasthan
2. Advocacy and research programs on developing gender-friendly technology","Education, Gender, Research",,26.950688,73.786591
Haryana,"Centre For Women, Law, And Social Change, O. P. Jindal Global University",https://jgu.edu.in/jgls/women-law-and-social-change/,Academic Research Centre,,sshc.jgu@gmail.com,"1. Bachelor of Arts in Gender Studies, 2022
2. Research projects on Gender Based Violence in Haryana
3. Centre staff teach courses with a focus on Feminist Jurisprudence, Gender Law and Governance, Human Rights of Women, and Family Law.","Education, Gender, Research",,28.176846,76.711242
Haryana,"Centre for Studies in Gender and Sexuality, Ashoka University",http://csgs.ashoka.edu.in/,Academic Research Centre,2015,csgs@ashoka.edu.in,"1. ISHQ: Issues in Society, History, and Queerness, a monthly speaker series
2. ADA: Art, Desire, Activism, arts series that encourages conversations on sexuality, desire, and gender expression
3. TAP: Theory and Practice: Transnational conversations on gender and sexuality
4. Summer of ISHQ: Webinar series on Issues of Society, History, and Queerness
5. Candid: A Queer Feminist Baithak: a public platform for open ended discussions on questions of gender and sexuality, culture and politics.
6. Reading Group on issues concerning gender, sexuality, identity and activism.
7. CSGS Specials: Film screanings, performance art, and other campaigns on issues of gender and sexuality.","Education, Gender, Sexuality, Research",,28.176846,76.711242
Rajasthan,"Centre for Women's Studies, Jai Narain Vyas University",https://www.facebook.com/CWS.JNVUJodhpur/about/?ref=page_internal,Academic Research Centre,,,"Post-graduate diploma in Gender Studies with a focus on Gender studies, Women in Politics and Governance, Issues in Women's empowerment, and Women and law","Education, Gender, Research",,,
Rajasthan,"Centre for Gender Studies, National Law University",http://www.nlujodhpur.ac.in/gender.php,Academic Research Centre,,nlu-jod-rj@nic.in,"1. Post-graduate diploma in Gender studies
2. Advocacy for capacity building, workshops on gender sensitisation and gender legislations
3. Research projects and public lecture series on women's empowerment and gender justice.","Education, Gender, Research",,26.950688,73.786591
Rajasthan,"Centre for Women's Studies, Mohanlal Sukhadia University",https://cfws.mlsu.ac.in/,Academic Research Centre,1988,,"1. Certificate course in Women and Legal Rights
2. Undergraduate course in Gender Studies and Community Development
3. Capacity building workshops
4. Advocacy and programs on gender justice, gender sensitisation, community development, and women's empowerment","Education, Gender, Research",,26.950688,73.786591
Delhi,"Department of Gender Studies, School of Human Studies, Ambedkar University",https://shs.aud.ac.in/,Academic Research Centre,,bindukc@aud.ac.in,"1. Master of Arts in Gender Studies 2. Master of Philosophy in Women and Gender Studies
3. Doctor of Philosophy in Women and Gender Studies
4. Academic research and other programs on issues related to women and gender.","Education, Gender, Research",,28.557163,77.163665
Rajasthan,"Centre for Women's Studies, University of Rajasthan",https://www.uniraj.ac.in/#,Academic Research Centre,,,"1. Seminars, workshops, conferences, information dissemination, training, and consultancy with a focus on Gender sensitisation, equality, and gender justice
2. Research","Education, Gender, Research",,26.950688,73.786591
Uttar Pradesh,"Institute of Women's Studies, University of Lucknow",https://udrc.lkouniv.ac.in/Department/DepartmentDetail/History?dept=47&cd=MwAxADAA,Academic Research Centre,1997,archana.kshitish@gmail.com,"1. Master of Arts in Women's Studies
2. Post-graduate diploma in garbh sanskar with a focus on pregnancy, pre and post natal care, diet yoga, human physiology, and issues related to couplehood and family
3. Six months certificate course in Garbh Sanskar
4. Capacity building training programs, gender sensitisation workshops, campaigns and awareness programs on gender and development","Education, Gender, Research",,26.879641,80.56982
Uttar Pradesh,"Centre for Law on Gender and Sexuality, Delhi Metropolitan Education, Guru Gobind Singh Indraprastha University",https://www.facebook.com/groups/2015923748660057,Academic research centre,2018,lawgendersexuality@dme.ac.in,"1. Awareness campaigns on consent, gender sensitisation programs
2. Research work on feminist jurisprudence and criminal justice system.
3. Lecture series on laws on gender and sexuality","Education, Gender, Sexuality, Research",,26.879641,80.56982
Uttar Pradesh,"Advanced Centre for Women's Studies, Aligarh Muslim University",https://www.amu.ac.in/department/centre-for-women-s-studies,Academic Research Centre,2001,"amucws@gmail.com , director.cws@amu.ac.in","1. Bachelor of Arts (Honours) in Women's Studies
2. Master of Arts in Women's Studies
3. Doctor of Philosophy in Women's Studies
4. Advocacy, awareness campaigns, and seminars on gender sensitisation, women empowernment, gender justice, and programs adressing gender based violence
5. Research projects with a focus on Gender and Development, Human rights, Media and Gender studies, History, Language, and Women's issues","Education, Gender, Research",,26.879641,80.56982
Uttarakhand,"Women Studies Centre, Hemvati Nandan Bahuguna Garhwal University",https://www.facebook.com/bourai123/ http://www.hnbgu.ac.in/,Academic Research Centre,,himanshubourai@yahoo.com,"1. Seminars, workshops, conferences, information dissemination, training, and consultancy with a focus on Gender sensitisation, equality, and gender justice
2. Research","Education, Gender, Research",,30.209236,79.182055
Uttar Pradesh,"Centre for Women's Studies, University of Allahabad",https://www.allduniv.ac.in/centre-institute/centre-for-women-s-studies,Academic Research Centre,2010,cwsalld@gmail.com,"1. Master of Arts in Women's Studies
2. Three months certificate course in Understanding Gender
3. Outreach programs, workshops, research projects, and lecture series with a focus on women's studies","Education, Gender, Research",,26.879641,80.56982
Uttar Pradesh,"Centre for Women's Studies and Development, Banaras Hindu University",https://www.bhu.ac.in/social_sciences/cwsd/,Academic Research Centre,1997,0542-230-7433,"1. Post-graduate diploma in Gender and Women's Studies with a focus on History in Women's Movement, Theories of Feminism, Feminist Methodology, and Women in Literature and Culture
2. Refresher course in Women's studies for teachers
3. Refresher course in Women's studies for reserach scholars
4. Health check-up camps, literary and legal awareness programs
5. workshops, seminars, and training programs with a focus on gender sensitisation, capacity building, and gender equality","Education, Gender, Research",,26.879641,80.56982
New Delhi,Centre for Women's Development Studies,https://www.cwds.ac.in/,Academic Research Centre,1980,cwds@cwds.ac.in,"1. Research methodology course in Gender Across Social Science Disciplines, 2021
2. Orientation course in Region, Resources, and Gender Development, 2017, specially aimed at faculty members of Universities
3. Orientation course in Towards a Multidisciplinary Research in Social Sciences, 2015, specially aimed at SC/ST postgraduate students from the North Eastern region of India
4. Research Methodology and Training course in Addressing Exclusions: Approaching Gender, 2013, with a focus on inequalities and exclusions in the economic, political, social and cultural spheres. Course specially aimed at ST/ST candidates.
5. Research Training course in Women's Studies: Concepts and Debates, 2011
6. ICSSR post-doctoral fellowships in Women and Gender Studies
7. Networking and advocy with a focus on gender sensitisation, unpaid care work, domestic work, safe migration, child care and women’s work.
8. Action research in Bankura and Medinipur with a focus on women empowerment and involvement in knowledge production
9. Research projects with a focus on Gender, law, labour, conflict, health, politics, citizenship, and violence
10. Re-presenting Indian Women 1875-1947: A visual documentary","Education, Gender, Research",An autonomous research institute supported by the Indian Council of Social Science Research,28.557163,77.163665
Jammu & Kashmir,"Centre for Women's Studies and Research, University of Kashmir",http://wsc.uok.edu.in/Main/Default.aspx,Academic Research Centre,2006,coordinatorcwsrku@gmail.com,"1. Master of Arts in Gender Studies 2. Certificate course in Women and Law
3. Choice Based Credit System (CBCS) papers offered to University students:
3.1. Women and Society in Kashmir 3.2. Women and Society in India
4. Refresher courses in Women's studies for University staff
5. Gender sensitisation and women's development programs
6. Seminars with a focus on women, health, gender based violence, and human rights
7. Implemented Gender Champions Scheme under the Ministry of Women and Child Developement","Education, Gender, Research",,32.70197,74.871912
Uttar Pradesh,"Amity Institute of Social Science, Amity University, Noida campus",https://www.amity.edu/course-list.aspx?fd=Social%20Science&Programs=Post%20Graduate,Academic Centre,,91(0)-120-4392521,Master of Arts in Gender Studies,"Education, Gender, Research",,26.879641,80.56982
